Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	blastomere of 2-cell stage embryo	IAO:0000115	A cell found in the embryo before the formation of all the gem layers is complete
ERROR	duplicate_definition	blastomere of 4-cells stage embryo	IAO:0000115	A cell found in the embryo before the formation of all the gem layers is complete
ERROR	label_whitespace	External cell layer 	rdfs:label	External cell layer 
WARN	duplicate_exact_synonym	gastrula-G0 stage	oboInOwl:hasExactSynonym	Very early gastrula
WARN	duplicate_exact_synonym	gastrula-G1 stage	oboInOwl:hasExactSynonym	Very early gastrula
WARN	duplicate_exact_synonym	gastrula-G2 stage	oboInOwl:hasExactSynonym	Very early gastrula
WARN	missing_definition	gametogenesis	IAO:0000115	
WARN	missing_definition	oogenesis	IAO:0000115	
WARN	missing_definition	spermatogenesis	IAO:0000115	
WARN	missing_definition	gamete stage	IAO:0000115	
WARN	missing_definition	unfertilized egg stage	IAO:0000115	
WARN	missing_definition	spermatozoid stage	IAO:0000115	
WARN	missing_definition	embryonic development	IAO:0000115	
WARN	missing_definition	zygote period	IAO:0000115	
WARN	missing_definition	cleavage period	IAO:0000115	
WARN	missing_definition	blastula period	IAO:0000115	
WARN	missing_definition	Gastrula period	IAO:0000115	
WARN	missing_definition	Neurula period	IAO:0000115	
WARN	missing_definition	Tailbud period	IAO:0000115	
WARN	missing_definition	larval development	IAO:0000115	
WARN	missing_definition	Larva stage	IAO:0000115	
WARN	missing_definition	Metamorphosis	IAO:0000115	
WARN	missing_definition	juvenile	IAO:0000115	
WARN	missing_definition	Juvenile period	IAO:0000115	
WARN	missing_definition	adult	IAO:0000115	
WARN	missing_definition	Adult period	IAO:0000115	
WARN	missing_definition	2-cell stage	IAO:0000115	
WARN	missing_definition	4-cell stage	IAO:0000115	
WARN	missing_definition	8-cell stage	IAO:0000115	
WARN	missing_definition	16-cell stage	IAO:0000115	
WARN	missing_definition	32-cell stage	IAO:0000115	
WARN	missing_definition	64-cell stage	IAO:0000115	
WARN	missing_definition	128-cell stage	IAO:0000115	
WARN	missing_definition	256-cell stage	IAO:0000115	
WARN	missing_definition	blastula stage	IAO:0000115	
WARN	missing_definition	whole embryo	IAO:0000115	
WARN	missing_definition	blastomere	IAO:0000115	
WARN	missing_definition	whole oocyte	IAO:0000115	
WARN	missing_definition	tissue	IAO:0000115	
WARN	missing_definition	embryonic territory	IAO:0000115	
WARN	missing_definition	central nervous system	IAO:0000115	
WARN	missing_definition	vegetal pole cytoplasm	IAO:0000115	
WARN	missing_definition	vegetal pole cytoplasm of oocyte	IAO:0000115	
WARN	missing_definition	vegetal pole cytoplasm of embryo	IAO:0000115	
WARN	missing_definition	animal pole cytoplasm	IAO:0000115	
WARN	missing_definition	animal pole cytoplasm of oocyte	IAO:0000115	
WARN	missing_definition	animal pole cytoplasm of embryo	IAO:0000115	
WARN	missing_definition	2 cell stage embryo	IAO:0000115	
WARN	missing_definition	4 cell stage embryo	IAO:0000115	
WARN	missing_definition	Presumptive ectoderm	IAO:0000115	
WARN	missing_definition	Dorsal presumptive ectoderm	IAO:0000115	
WARN	missing_definition	Ventral presumptive ectoderm	IAO:0000115	
WARN	missing_definition	Presumptive mesendoderm	IAO:0000115	
WARN	missing_definition	Dorsal presumptive mesendoderm	IAO:0000115	
WARN	missing_definition	Ventral presumptive mesendoderm	IAO:0000115	
WARN	missing_definition	Blastopore lip	IAO:0000115	
WARN	missing_definition	Dorsal blastopore lip	IAO:0000115	
WARN	missing_definition	Ventral blastopore lip	IAO:0000115	
WARN	missing_definition	Ectoderm	IAO:0000115	
WARN	missing_definition	Dorsal ectoderm	IAO:0000115	
WARN	missing_definition	Ventral ectoderm	IAO:0000115	
WARN	missing_definition	Anterior ectoderm	IAO:0000115	
