Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	DDPHENO:0000023	owl:equivalentClass	710345e4-c6e7-4f34-8e1d-1f78a67b1f4dgenid171
WARN	multiple_equivalent_classes	delayed prespore gene expression	owl:equivalentClass	blank node
WARN	multiple_equivalent_classes	decreased number of vacuoles	owl:equivalentClass	blank node
WARN	missing_definition	definition	definition	
WARN	missing_definition	has_alternative_id	definition	
WARN	missing_definition	has_broad_synonym	definition	
WARN	missing_definition	database_cross_reference	definition	
WARN	missing_definition	has_exact_synonym	definition	
WARN	missing_definition	has_narrow_synonym	definition	
WARN	missing_definition	has_obo_format_version	definition	
WARN	missing_definition	has_obo_namespace	definition	
WARN	missing_definition	has_related_synonym	definition	
INFO	missing_superclass	Dicty Phenotypes	rdfs:subClassOf	
