IRI	Label	Issue
http://purl.obolibrary.org/obo/COB_0000002	is concretized as	shares label with http://purl.obolibrary.org/obo/RO_0000058
http://purl.obolibrary.org/obo/COB_0000023	characteristic of	shares label with http://purl.obolibrary.org/obo/RO_0000052
http://purl.obolibrary.org/obo/COB_0000024	participates in	shares label with http://purl.obolibrary.org/obo/RO_0000056
http://purl.obolibrary.org/obo/COB_0000029	realized in	shares label with http://purl.obolibrary.org/obo/BFO_0000054
http://purl.obolibrary.org/obo/COB_0000036	contains process	shares label with http://purl.obolibrary.org/obo/BFO_0000067
http://purl.obolibrary.org/obo/COB_0000047	has part	shares label with http://purl.obolibrary.org/obo/BFO_0000051
http://purl.obolibrary.org/obo/COB_0000070	has participant	shares label with http://purl.obolibrary.org/obo/RO_0000057
http://purl.obolibrary.org/obo/COB_0000071	occurs in	shares label with http://purl.obolibrary.org/obo/BFO_0000066
http://purl.obolibrary.org/obo/COB_0000072	part of	shares label with http://purl.obolibrary.org/obo/BFO_0000050
http://purl.obolibrary.org/obo/COB_0000074	enabled by	shares label with http://purl.obolibrary.org/obo/RO_0002333
http://purl.obolibrary.org/obo/COB_0000078	concretizes	shares label with http://purl.obolibrary.org/obo/RO_0000059
http://purl.obolibrary.org/obo/COB_0000087	realizes	shares label with http://purl.obolibrary.org/obo/BFO_0000055
http://purl.obolibrary.org/obo/COB_0000512	has characteristic	shares label with http://purl.obolibrary.org/obo/RO_0000053
http://purl.obolibrary.org/obo/COB_0000016	executed by	not an RO property
http://purl.obolibrary.org/obo/COB_0000027	is specified input of	not an RO property
http://purl.obolibrary.org/obo/COB_0000028	is specified output of	not an RO property
http://purl.obolibrary.org/obo/COB_0000039	has specified input	not an RO property
http://purl.obolibrary.org/obo/COB_0000040	has specified output	not an RO property
http://purl.obolibrary.org/obo/COB_0000081	intended to realize	not an RO property
http://purl.obolibrary.org/obo/COB_0000084	has plan	not an RO property
http://purl.obolibrary.org/obo/COB_0000085	intended plan process type	not an RO property
http://purl.obolibrary.org/obo/COB_0000086	executes	not an RO property
http://purl.obolibrary.org/obo/COB_0000513	is about	not an RO property
http://purl.obolibrary.org/obo/COB_0000511	has quantity	not an RO property
http://purl.obolibrary.org/obo/COB_0000800	has atomic number	not an RO property
http://purl.obolibrary.org/obo/COB_0000801	has number of atomic nuclei	not an RO property
http://purl.obolibrary.org/obo/COB_0000803	has inchi string	not an RO property
