Level	Rule Name	Subject	Property	Value
ERROR	deprecated_boolean_datatype	NBO:0000453	owl:deprecated	true
ERROR	duplicate_definition	NBO:0015003	IAO:0000115	Feeding behavior during which a living entity acquires food and energy by actively searching for food resources.
ERROR	duplicate_definition	NBO:0015004	IAO:0000115	Feeding behavior during which a living entity acquires food and energy by actively searching for food resources.
ERROR	duplicate_definition	NBO:0015005	IAO:0000115	Consumption behavior that involves inhaling a material (such as finely ground tobacco leaves) through the nose.
ERROR	duplicate_definition	NBO:0015009	IAO:0000115	Consumption behavior that involves inhaling a material (such as finely ground tobacco leaves) through the nose.
ERROR	duplicate_definition	NBO:0000112	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action toward inanimate objects.\"" [NBO:GVG]"
ERROR	duplicate_definition	NBO:0000113	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action toward inanimate objects.\"" [NBO:GVG]"
ERROR	duplicate_definition	NBO:0000162	IAO:0000115	"\""Duration of REM sleep.\"" [NBO:GVG]"
ERROR	duplicate_definition	NBO:0000164	IAO:0000115	"\""Duration of REM sleep.\"" [NBO:GVG]"
ERROR	duplicate_definition	NBO:0003142	IAO:0000115	"\""Any process that modulates the frequency, rate or extent of withdrawal response.\"" [NBOC:GVG]"
ERROR	duplicate_definition	NBO:0003194	IAO:0000115	"\""Any process that modulates the frequency, rate or extent of withdrawal response.\"" [NBOC:GVG]"
ERROR	duplicate_definition	NBO:0003047	IAO:0000115	"\""Any process that modulates the frequency, rate or extent of behavioral response to chemical stimulus.\"" [NBOC:GVG]"
ERROR	duplicate_definition	NBO:0003104	IAO:0000115	"\""Any process that modulates the frequency, rate or extent of behavioral response to chemical stimulus.\"" [NBOC:GVG]"
ERROR	duplicate_label	NBO:0015003	rdfs:label	active foraging behavior@en
ERROR	duplicate_label	NBO:0015004	rdfs:label	active foraging behavior@en
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/nbo/nbo-base.owl	dc:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/nbo/nbo-base.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/nbo/nbo-base.owl	dc:title	
ERROR	multiple_definitions	NBO:0020145	IAO:0000115	Alarm behavior triggered by agonistic actions or postures@en
ERROR	multiple_definitions	NBO:0020145	IAO:0000115	Alarm behavior triggered by agonistic actions or postures.@en
WARN	duplicate_exact_synonym	NBO:0000025	oboInOwl:hasExactSynonym	unprovoked seizure
WARN	duplicate_exact_synonym	NBO:0000642	oboInOwl:hasExactSynonym	unprovoked seizure
WARN	duplicate_exact_synonym	NBO:0000503	oboInOwl:hasExactSynonym	RBD
WARN	duplicate_exact_synonym	NBO:0000524	oboInOwl:hasExactSynonym	RBD
WARN	duplicate_exact_synonym	NBO:0000244	oboInOwl:hasExactSynonym	hysteria
WARN	duplicate_exact_synonym	NBO:0000250	oboInOwl:hasExactSynonym	hysteria
WARN	duplicate_exact_synonym	NBO:0000027	oboInOwl:hasExactSynonym	groom@en
WARN	duplicate_exact_synonym	NBO:0000367	oboInOwl:hasExactSynonym	fly@en
WARN	duplicate_exact_synonym	NBO:0000277	oboInOwl:hasExactSynonym	<new synonym>
WARN	duplicate_exact_synonym	NBO:0000420	oboInOwl:hasExactSynonym	<new synonym>
WARN	duplicate_label_synonym	NBO:0000104	oboInOwl:hasExactSynonym	aggressive behavior towards humans
WARN	duplicate_label_synonym	NBO:0000105	oboInOwl:hasExactSynonym	aggressive behavior towards animals
WARN	duplicate_label_synonym	NBO:0000106	oboInOwl:hasExactSynonym	aggressive behavior towards objects
WARN	duplicate_label_synonym	NBO:0000107	oboInOwl:hasExactSynonym	aggressive behavior towards mice
WARN	duplicate_label_synonym	NBO:0000108	oboInOwl:hasExactSynonym	aggressive behavior towards women
WARN	duplicate_label_synonym	NBO:0000109	oboInOwl:hasExactSynonym	aggressive behavior towards men
WARN	duplicate_label_synonym	NBO:0000110	oboInOwl:hasExactSynonym	aggressive behavior towards male mice
WARN	duplicate_label_synonym	NBO:0000111	oboInOwl:hasExactSynonym	aggressive behavior towards female mice
WARN	duplicate_label_synonym	NBO:0000112	oboInOwl:hasExactSynonym	aggressive behavior towards inanimate objects
WARN	duplicate_label_synonym	NBO:0000113	oboInOwl:hasExactSynonym	aggressive behavior towards animate objects
WARN	duplicate_label_synonym	NBO:0000114	oboInOwl:hasExactSynonym	aggressive behavior towards children
WARN	duplicate_label_synonym	NBO:0000115	oboInOwl:hasExactSynonym	aggressive behavior towards pups
WARN	duplicate_label_synonym	NBO:0000118	oboInOwl:hasExactSynonym	aggressive behavior towards males
WARN	duplicate_label_synonym	NBO:0000123	oboInOwl:hasExactSynonym	submissive behavior towards males
WARN	duplicate_label_synonym	NBO:0000124	oboInOwl:hasExactSynonym	submissive behavior towards females
WARN	duplicate_label_synonym	NBO:0000125	oboInOwl:hasExactSynonym	submissive behavior towards male mice
WARN	duplicate_label_synonym	NBO:0000370	oboInOwl:hasExactSynonym	saltation
WARN	duplicate_label_synonym	NBO:0000749	oboInOwl:hasExactSynonym	blinking
WARN	equivalent_class_axiom_no_genus	NBO:0000063	RO:0002211	NBO:0000134
WARN	equivalent_class_axiom_no_genus	NBO:0000064	RO:0002211	NBO:0000130
WARN	equivalent_class_axiom_no_genus	NBO:0001786	RO:0002211	NBO:0000313
WARN	equivalent_class_axiom_no_genus	NBO:0001824	RO:0002211	NBO:0000131
WARN	equivalent_class_axiom_no_genus	NBO:0002132	RO:0002211	NBO:0001915
WARN	equivalent_class_axiom_no_genus	NBO:0002169	RO:0002211	NBO:0001845
WARN	equivalent_class_axiom_no_genus	NBO:0002234	RO:0002211	NBO:0001884
WARN	equivalent_class_axiom_no_genus	NBO:0002273	RO:0002211	NBO:0002086
WARN	equivalent_class_axiom_no_genus	NBO:0002308	RO:0002211	NBO:0001952
WARN	equivalent_class_axiom_no_genus	NBO:0002468	RO:0002211	NBO:0000132
WARN	equivalent_class_axiom_no_genus	NBO:0002511	RO:0002211	NBO:0000136
WARN	equivalent_class_axiom_no_genus	NBO:0002603	RO:0002211	NBO:0000034
WARN	equivalent_class_axiom_no_genus	NBO:0003047	RO:0002211	NBO:0001632
WARN	equivalent_class_axiom_no_genus	NBO:0003104	RO:0002211	NBO:0001728
WARN	equivalent_class_axiom_no_genus	NBO:0003142	RO:0002211	NBO:0002986
WARN	equivalent_class_axiom_no_genus	NBO:0003194	RO:0002211	NBO:0003161
WARN	missing_definition	NBO:0000002	IAO:0000115	
WARN	missing_definition	NBO:0000008	IAO:0000115	
WARN	missing_definition	NBO:0000012	IAO:0000115	
WARN	missing_definition	NBO:0000035	IAO:0000115	
WARN	missing_definition	NBO:0000036	IAO:0000115	
WARN	missing_definition	NBO:0000047	IAO:0000115	
WARN	missing_definition	NBO:0000059	IAO:0000115	
WARN	missing_definition	NBO:0000069	IAO:0000115	
WARN	missing_definition	NBO:0000070	IAO:0000115	
WARN	missing_definition	NBO:0000074	IAO:0000115	
WARN	missing_definition	NBO:0000082	IAO:0000115	
WARN	missing_definition	NBO:0000100	IAO:0000115	
WARN	missing_definition	NBO:0000121	IAO:0000115	
WARN	missing_definition	NBO:0000126	IAO:0000115	
WARN	missing_definition	NBO:0000133	IAO:0000115	
WARN	missing_definition	NBO:0000135	IAO:0000115	
WARN	missing_definition	NBO:0000141	IAO:0000115	
WARN	missing_definition	NBO:0000142	IAO:0000115	
WARN	missing_definition	NBO:0000143	IAO:0000115	
WARN	missing_definition	NBO:0000144	IAO:0000115	
WARN	missing_definition	NBO:0000145	IAO:0000115	
WARN	missing_definition	NBO:0000146	IAO:0000115	
WARN	missing_definition	NBO:0000147	IAO:0000115	
WARN	missing_definition	NBO:0000148	IAO:0000115	
WARN	missing_definition	NBO:0000149	IAO:0000115	
WARN	missing_definition	NBO:0000154	IAO:0000115	
WARN	missing_definition	NBO:0000156	IAO:0000115	
WARN	missing_definition	NBO:0000157	IAO:0000115	
WARN	missing_definition	NBO:0000158	IAO:0000115	
WARN	missing_definition	NBO:0000159	IAO:0000115	
WARN	missing_definition	NBO:0000160	IAO:0000115	
WARN	missing_definition	NBO:0000163	IAO:0000115	
WARN	missing_definition	NBO:0000165	IAO:0000115	
WARN	missing_definition	NBO:0000167	IAO:0000115	
WARN	missing_definition	NBO:0000168	IAO:0000115	
WARN	missing_definition	NBO:0000169	IAO:0000115	
WARN	missing_definition	NBO:0000172	IAO:0000115	
WARN	missing_definition	NBO:0000173	IAO:0000115	
WARN	missing_definition	NBO:0000174	IAO:0000115	
WARN	missing_definition	NBO:0000175	IAO:0000115	
WARN	missing_definition	NBO:0000197	IAO:0000115	
WARN	missing_definition	NBO:0000201	IAO:0000115	
WARN	missing_definition	NBO:0000204	IAO:0000115	
WARN	missing_definition	NBO:0000210	IAO:0000115	
WARN	missing_definition	NBO:0000211	IAO:0000115	
WARN	missing_definition	NBO:0000213	IAO:0000115	
WARN	missing_definition	NBO:0000214	IAO:0000115	
WARN	missing_definition	NBO:0000215	IAO:0000115	
WARN	missing_definition	NBO:0000216	IAO:0000115	
WARN	missing_definition	NBO:0000221	IAO:0000115	
WARN	missing_definition	NBO:0000222	IAO:0000115	
WARN	missing_definition	NBO:0000223	IAO:0000115	
WARN	missing_definition	NBO:0000224	IAO:0000115	
WARN	missing_definition	NBO:0000226	IAO:0000115	
WARN	missing_definition	NBO:0000227	IAO:0000115	
WARN	missing_definition	NBO:0000228	IAO:0000115	
WARN	missing_definition	NBO:0000230	IAO:0000115	
WARN	missing_definition	NBO:0000231	IAO:0000115	
WARN	missing_definition	NBO:0000232	IAO:0000115	
WARN	missing_definition	NBO:0000240	IAO:0000115	
WARN	missing_definition	NBO:0000241	IAO:0000115	
WARN	missing_definition	NBO:0000242	IAO:0000115	
WARN	missing_definition	NBO:0000244	IAO:0000115	
WARN	missing_definition	NBO:0000252	IAO:0000115	
WARN	missing_definition	NBO:0000253	IAO:0000115	
WARN	missing_definition	NBO:0000254	IAO:0000115	
WARN	missing_definition	NBO:0000255	IAO:0000115	
WARN	missing_definition	NBO:0000256	IAO:0000115	
WARN	missing_definition	NBO:0000257	IAO:0000115	
WARN	missing_definition	NBO:0000259	IAO:0000115	
WARN	missing_definition	NBO:0000260	IAO:0000115	
WARN	missing_definition	NBO:0000261	IAO:0000115	
WARN	missing_definition	NBO:0000262	IAO:0000115	
WARN	missing_definition	NBO:0000263	IAO:0000115	
WARN	missing_definition	NBO:0000264	IAO:0000115	
WARN	missing_definition	NBO:0000265	IAO:0000115	
WARN	missing_definition	NBO:0000267	IAO:0000115	
WARN	missing_definition	NBO:0000268	IAO:0000115	
WARN	missing_definition	NBO:0000269	IAO:0000115	
WARN	missing_definition	NBO:0000272	IAO:0000115	
WARN	missing_definition	NBO:0000273	IAO:0000115	
WARN	missing_definition	NBO:0000274	IAO:0000115	
WARN	missing_definition	NBO:0000275	IAO:0000115	
WARN	missing_definition	NBO:0000277	IAO:0000115	
WARN	missing_definition	NBO:0000278	IAO:0000115	
WARN	missing_definition	NBO:0000280	IAO:0000115	
WARN	missing_definition	NBO:0000283	IAO:0000115	
WARN	missing_definition	NBO:0000284	IAO:0000115	
WARN	missing_definition	NBO:0000289	IAO:0000115	
WARN	missing_definition	NBO:0000290	IAO:0000115	
WARN	missing_definition	NBO:0000291	IAO:0000115	
WARN	missing_definition	NBO:0000292	IAO:0000115	
WARN	missing_definition	NBO:0000295	IAO:0000115	
WARN	missing_definition	NBO:0000299	IAO:0000115	
WARN	missing_definition	NBO:0000305	IAO:0000115	
WARN	missing_definition	NBO:0000318	IAO:0000115	
WARN	missing_definition	NBO:0000319	IAO:0000115	
WARN	missing_definition	NBO:0000320	IAO:0000115	
WARN	missing_definition	NBO:0000321	IAO:0000115	
WARN	missing_definition	NBO:0000324	IAO:0000115	
WARN	missing_definition	NBO:0000330	IAO:0000115	
WARN	missing_definition	NBO:0000331	IAO:0000115	
WARN	missing_definition	NBO:0000332	IAO:0000115	
WARN	missing_definition	NBO:0000333	IAO:0000115	
WARN	missing_definition	NBO:0000334	IAO:0000115	
WARN	missing_definition	NBO:0000335	IAO:0000115	
WARN	missing_definition	NBO:0000336	IAO:0000115	
WARN	missing_definition	NBO:0000337	IAO:0000115	
WARN	missing_definition	NBO:0000349	IAO:0000115	
WARN	missing_definition	NBO:0000354	IAO:0000115	
WARN	missing_definition	NBO:0000414	IAO:0000115	
WARN	missing_definition	NBO:0000444	IAO:0000115	
WARN	missing_definition	NBO:0000445	IAO:0000115	
WARN	missing_definition	NBO:0000448	IAO:0000115	
WARN	missing_definition	NBO:0000453	IAO:0000115	
WARN	missing_definition	NBO:0000471	IAO:0000115	
WARN	missing_definition	NBO:0000473	IAO:0000115	
WARN	missing_definition	NBO:0000474	IAO:0000115	
WARN	missing_definition	NBO:0000476	IAO:0000115	
WARN	missing_definition	NBO:0000482	IAO:0000115	
WARN	missing_definition	NBO:0000487	IAO:0000115	
WARN	missing_definition	NBO:0000489	IAO:0000115	
WARN	missing_definition	NBO:0000515	IAO:0000115	
WARN	missing_definition	NBO:0000530	IAO:0000115	
WARN	missing_definition	NBO:0000531	IAO:0000115	
WARN	missing_definition	NBO:0000532	IAO:0000115	
WARN	missing_definition	NBO:0000533	IAO:0000115	
WARN	missing_definition	NBO:0000553	IAO:0000115	
WARN	missing_definition	NBO:0000554	IAO:0000115	
WARN	missing_definition	NBO:0000555	IAO:0000115	
WARN	missing_definition	NBO:0000558	IAO:0000115	
WARN	missing_definition	NBO:0000565	IAO:0000115	
WARN	missing_definition	NBO:0000566	IAO:0000115	
WARN	missing_definition	NBO:0000573	IAO:0000115	
WARN	missing_definition	NBO:0000617	IAO:0000115	
