Level	Rule Name	Subject	Property	Value
WARN	missing_definition	obo:to#evaluation_location	IAO:0000115	
WARN	missing_definition	obo:to#from_country	IAO:0000115	
WARN	missing_definition	obo:to#has_absolute_phenotype	IAO:0000115	
WARN	missing_definition	obo:to#has_dividend_entity	IAO:0000115	
WARN	missing_definition	obo:to#has_dividend_quality	IAO:0000115	
WARN	missing_definition	obo:to#has_divisor_entity	IAO:0000115	
WARN	missing_definition	obo:to#has_divisor_quality	IAO:0000115	
WARN	missing_definition	obo:to#has_phenotype_score	IAO:0000115	
WARN	missing_definition	obo:to#has_phenotype_variable	IAO:0000115	
WARN	missing_definition	obo:to#has_ratio_quality	IAO:0000115	
WARN	missing_definition	obo:to#has_relative_phenotype	IAO:0000115	
WARN	missing_definition	obo:to#relative_to	IAO:0000115	
