Level	Rule Name	Subject	Property	Value
WARN	duplicate_exact_synonym	XAO:0005051	oboInOwl:hasExactSynonym	RM
WARN	duplicate_exact_synonym	XAO:0005052	oboInOwl:hasExactSynonym	Rm
WARN	duplicate_exact_synonym	XAO:0000366	oboInOwl:hasExactSynonym	ICA
WARN	duplicate_exact_synonym	XAO:0005232	oboInOwl:hasExactSynonym	ICa
WARN	duplicate_exact_synonym	XAO:0004390	oboInOwl:hasExactSynonym	DT
WARN	duplicate_exact_synonym	XAO:0005235	oboInOwl:hasExactSynonym	dt
WARN	duplicate_exact_synonym	XAO:0004364	oboInOwl:hasExactSynonym	ct
WARN	duplicate_exact_synonym	XAO:0005046	oboInOwl:hasExactSynonym	CT
WARN	duplicate_label_synonym	XAO:0005322	oboInOwl:hasExactSynonym	tadpole
WARN	missing_definition	obo:xao#preceded_by	IAO:0000115	
INFO	missing_superclass	XAO:0000000	rdfs:subClassOf	
INFO	missing_superclass	XAO:1000000	rdfs:subClassOf	
