Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	water solubility	IAO:0000115	Water solubility in mg/mL or g/L
ERROR	duplicate_definition	predicted water solubility	IAO:0000115	Water solubility in mg/mL or g/L
ERROR	duplicate_definition	carboxylation assay	IAO:0000115	The measurement of a the introduction of a carboxylic acid group into a substrate.
ERROR	duplicate_definition	decarboxylation assay	IAO:0000115	The measurement of a the introduction of a carboxylic acid group into a substrate.
ERROR	duplicate_definition	mkate2	IAO:0000115	Monomeric far-red fluorescent protein generated from the wild-type RFP from sea anemone Entacmaea quadricolor. It possesses bright fluorescence with excitation/emission maxima at 588 and 635 nm, respectively.
ERROR	duplicate_definition	mkate	IAO:0000115	Monomeric far-red fluorescent protein generated from the wild-type RFP from sea anemone Entacmaea quadricolor. It possesses bright fluorescence with excitation/emission maxima at 588 and 635 nm, respectively.
ERROR	duplicate_definition	molecular weight	IAO:0000115	Molecular weight in g/mol, determined from molecular formula or sequence.
ERROR	duplicate_definition	average molecular weight	IAO:0000115	Molecular weight in g/mol, determined from molecular formula or sequence.
ERROR	duplicate_definition	monoisotopic molecular weight	IAO:0000115	Molecular weight in g/mol, determined from molecular formula or sequence.
ERROR	duplicate_definition	atto 488	IAO:0000115	Fluorescent tag - maleimide couples to thiols.
ERROR	duplicate_definition	atto 550	IAO:0000115	Fluorescent tag - maleimide couples to thiols.
ERROR	duplicate_definition	atto 532	IAO:0000115	Fluorescent tag - maleimide couples to thiols.
ERROR	duplicate_definition	atto 647	IAO:0000115	Fluorescent tag - maleimide couples to thiols.
ERROR	duplicate_definition	atto 465	IAO:0000115	Fluorescent tag - maleimide couples to thiols.
ERROR	duplicate_definition	chembl compound	IAO:0000115	ChEMBL focuses on mapping the interactions of small molecules binding to their macromolecular targets.
ERROR	duplicate_definition	chembl target	IAO:0000115	ChEMBL focuses on mapping the interactions of small molecules binding to their macromolecular targets.
ERROR	duplicate_definition	chembl	IAO:0000115	ChEMBL focuses on mapping the interactions of small molecules binding to their macromolecular targets.
ERROR	missing_ontology_description	obo:mi.owl	dc11:description	
ERROR	duplicate_label	suppression	rdfs:label	suppression
ERROR	duplicate_label	suppression	rdfs:label	suppression
ERROR	duplicate_label	pubchem	rdfs:label	pubchem
ERROR	duplicate_label	pubchem	rdfs:label	pubchem
ERROR	duplicate_label	opposing epistasis	rdfs:label	opposing epistasis
ERROR	duplicate_label	opposing epistasis	rdfs:label	opposing epistasis
ERROR	duplicate_label	ampylation assay	rdfs:label	ampylation assay
ERROR	duplicate_label	ampylation assay	rdfs:label	ampylation assay
ERROR	missing_ontology_license	obo:mi.owl	dc:license	
ERROR	missing_ontology_title	obo:mi.owl	dc11:title	
WARN	annotation_whitespace	myc tag coimmunoprecipitation	oboInOwl:hasExactSynonym	myc tag coip 
WARN	annotation_whitespace	suppression mutation	IAO:0000115	<A given (suppressed) mutation phenotype is reverted by a supressor gene mutation.OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0793 and genetic experimental form 'mutated gene' MI:0804. >
WARN	annotation_whitespace	suppression knockout	IAO:0000115	<Knocked out gene is the suppressor of a phenotype.OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0793 and genetic experimental form 'knock out' MI:0788. >
WARN	annotation_whitespace	suppression partial alteration	IAO:0000115	<A mutation is the partial suppressor of a mutant phenotype.OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0793 and genetic experimental form 'knock down' MI:0789. >
WARN	annotation_whitespace	suppression expression alteration	IAO:0000115	<An altered expression is the suppressor of a phenotype.OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0793 and genetic experimental form 'expression level alteration' MI:0803. >
WARN	annotation_whitespace	suppression overexpression	IAO:0000115	<Overexpression is the suppressor of a phenotype.OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0793 and genetic experimental form 'over expressed' MI:0506. >
WARN	annotation_whitespace	suppression scalable	IAO:0000115	<Level of over/underexpression scales the 'extend' of a phenotype.OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0793 and genetic experimental form 'expression level alteration' MI:0803. >
WARN	annotation_whitespace	suppression underexpression	IAO:0000115	<Underexpression is the suppressor of a phenotype.OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0793 and genetic experimental form 'under expressed' MI:0223. >
WARN	annotation_whitespace	n-terminal position	oboInOwl:hasExactSynonym	n-terminal 
WARN	annotation_whitespace	double stranded deoxyribonucleic acid	IAO:0000115	"DNA that consists of two base pairing strands. The 2 nucleotide chains are held together by hydrogen bonds between base pairs of nucleotides.
"
WARN	annotation_whitespace	gal4 dna binding domain	IAO:0000115	"Part of the yeast transcription factor GAL4 (amino acids 11-38) specifically responsible for DNA binding of a 17 base-pair long sequence in the upstream activating sequence of galactose-induced genes.
"
WARN	annotation_whitespace	dna strand elongation	oboInOwl:hasExactSynonym	DNA replication elongation 
WARN	annotation_whitespace	knock out	IAO:0000115	The gene has been completely removed e.g. by genetic engineering 
WARN	annotation_whitespace	genbank identifier	IAO:0000115	 edit
WARN	annotation_whitespace	zz tag	IAO:0000115	The ZZ tag is a tag made out of two tandem repeats of the Protein A IgG binding domain. 
WARN	annotation_whitespace	surface plasmon resonance array	oboInOwl:hasExactSynonym	SPRi-Plex 
WARN	annotation_whitespace	fiash label	oboInOwl:hasExactSynonym	4',5'-bis(1,3,2-dithioarsolan-2-yl)fluorescein 
WARN	annotation_whitespace	iaedans label	oboInOwl:hasExactSynonym	(5((((2-iodoacetyl)amino)ethyl)amino)-naphthalene-1-sulfonic acid) 
WARN	annotation_whitespace	miniaturized immunoprecipitation	oboInOwl:hasExactSynonym	 protein interaction network generator
WARN	annotation_whitespace	einecs	oboInOwl:hasExactSynonym	European Inventory of Existing Commercial Chemical Substances 
WARN	annotation_whitespace	zfin	oboInOwl:hasExactSynonym	The Zebrafish Model Organism Database 
WARN	annotation_whitespace	sequence based prediction of gene regulatory region binding sites	oboInOwl:hasRelatedSynonym	sequence based prediction of TG regulatory region binding sites  for TF 
WARN	annotation_whitespace	CLONE OF phosphotransfer reaction	IAO:0000115	Reaction where a phosphate is transferred between two proteins of a phosphorelay system. 
WARN	annotation_whitespace	ABCB1 transporter substrate	oboInOwl:hasExactSynonym	pgp(mdr1) substrate 
WARN	duplicate_exact_synonym	x-ray crystallography	oboInOwl:hasExactSynonym	X-ray
WARN	duplicate_exact_synonym	x-ray powder diffraction	oboInOwl:hasExactSynonym	X-ray
WARN	duplicate_exact_synonym	x-ray fiber diffraction	oboInOwl:hasExactSynonym	X-ray
WARN	duplicate_exact_synonym	uniprot/swiss-prot	oboInOwl:hasExactSynonym	UniProt
WARN	duplicate_exact_synonym	uniprot/trembl	oboInOwl:hasExactSynonym	UniProt
WARN	duplicate_exact_synonym	renilla luciferase protein tag	oboInOwl:hasExactSynonym	renilla luciferase
WARN	duplicate_exact_synonym	Split renilla luciferase complementation	oboInOwl:hasExactSynonym	renilla luciferase
WARN	duplicate_exact_synonym	small interfering rna	oboInOwl:hasExactSynonym	micro RNA
WARN	duplicate_exact_synonym	micro rna	oboInOwl:hasExactSynonym	micro RNA
WARN	duplicate_exact_synonym	gal4 vp16 complementation	oboInOwl:hasExactSynonym	KISS
WARN	duplicate_exact_synonym	kiss	oboInOwl:hasExactSynonym	KISS
WARN	duplicate_exact_synonym	force spectroscopy	oboInOwl:hasExactSynonym	intermolecular force
WARN	duplicate_exact_synonym	force measurement	oboInOwl:hasExactSynonym	intermolecular force
WARN	duplicate_exact_synonym	kinase homogeneous time resolved fluorescence	oboInOwl:hasExactSynonym	homogeneous time-resolved fluorescence
WARN	duplicate_exact_synonym	phosphatase homogeneous time resolved fluorescence	oboInOwl:hasExactSynonym	homogeneous time-resolved fluorescence
WARN	duplicate_exact_synonym	homogeneous time resolved fluorescence	oboInOwl:hasExactSynonym	homogeneous time-resolved fluorescence
WARN	duplicate_exact_synonym	glycosylation reaction	oboInOwl:hasExactSynonym	glycosylation
WARN	duplicate_exact_synonym	attached carbohydrate	oboInOwl:hasExactSynonym	glycosylation
WARN	duplicate_exact_synonym	epistasis	oboInOwl:hasExactSynonym	epistatic
WARN	duplicate_exact_synonym	epistatic gene	oboInOwl:hasExactSynonym	epistatic
WARN	duplicate_exact_synonym	physiological level	oboInOwl:hasExactSynonym	endogenous
WARN	duplicate_exact_synonym	naturally occurring	oboInOwl:hasExactSynonym	endogenous
WARN	duplicate_exact_synonym	deamination assay	oboInOwl:hasExactSynonym	deamination
WARN	duplicate_exact_synonym	deamination reaction	oboInOwl:hasExactSynonym	deamination
WARN	duplicate_exact_synonym	deamidation reaction	oboInOwl:hasExactSynonym	deamidation
WARN	duplicate_exact_synonym	deamidation assay	oboInOwl:hasExactSynonym	deamidation
WARN	duplicate_exact_synonym	cleavage reaction	oboInOwl:hasExactSynonym	cleavage
WARN	duplicate_exact_synonym	cleavage assay	oboInOwl:hasExactSynonym	cleavage
WARN	duplicate_exact_synonym	aminoacylation assay	oboInOwl:hasExactSynonym	aminoacylation
WARN	duplicate_exact_synonym	aminoacylation reaction	oboInOwl:hasExactSynonym	aminoacylation
WARN	duplicate_exact_synonym	amidation reaction	oboInOwl:hasExactSynonym	amidation
WARN	duplicate_exact_synonym	amidase assay	oboInOwl:hasExactSynonym	amidation
WARN	invalid_xref	reactome complex	oboInOwl:hasDbXref	<id-validation-regexp:>
WARN	invalid_xref	reactome complex	oboInOwl:hasDbXref	<search-url:>
WARN	invalid_xref	reactome protein	oboInOwl:hasDbXref	<id-validation-regexp:>
WARN	invalid_xref	reactome protein	oboInOwl:hasDbXref	<search-url:>
WARN	invalid_xref	cabri	oboInOwl:hasDbXref	<id-validation-regexp:>
WARN	invalid_xref	cabri	oboInOwl:hasDbXref	<search-url:>
WARN	invalid_xref	newt	oboInOwl:hasDbXref	<id-validation-regexp:>
WARN	invalid_xref	newt	oboInOwl:hasDbXref	<search-url:>
WARN	invalid_xref	resid	oboInOwl:hasDbXref	<id-validation-regexp:>
WARN	invalid_xref	resid	oboInOwl:hasDbXref	<search-url:>
WARN	invalid_xref	huge	oboInOwl:hasDbXref	<id-validation-regexp:>
WARN	invalid_xref	huge	oboInOwl:hasDbXref	<search-url:>
