Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	obo:fobi.owl	dc11:description	
ERROR	missing_ontology_title	obo:fobi.owl	dc11:title	
WARN	missing_definition	Foods	IAO:0000115	
WARN	missing_definition	Unfermented milk products	IAO:0000115	
WARN	missing_definition	Fermented alcohols	IAO:0000115	
WARN	missing_definition	Infusions	IAO:0000115	
WARN	missing_definition	BiomarkerOf	IAO:0000115	
WARN	missing_definition	HasBiomarker	IAO:0000115	
WARN	missing_definition	Contains	IAO:0000115	
WARN	missing_definition	IsIngredientOf	IAO:0000115	
WARN	missing_definition	Fruits and vegetables	IAO:0000115	
WARN	missing_definition	blanquette	IAO:0000115	
WARN	missing_definition	vegetarian bolognese	IAO:0000115	
WARN	missing_definition	vegetarian fajitas	IAO:0000115	
WARN	missing_definition	filled	IAO:0000115	
WARN	missing_definition	vegetarian lasagne	IAO:0000115	
WARN	missing_definition	vegetarian pizza	IAO:0000115	
WARN	missing_definition	vegetarian quiche	IAO:0000115	
WARN	missing_definition	vegetarian taco	IAO:0000115	
WARN	missing_definition	meat wrap	IAO:0000115	
WARN	missing_definition	vegetarian wrap	IAO:0000115	
WARN	missing_definition	vegetarian chilli	IAO:0000115	
WARN	missing_definition	vegetarian curry	IAO:0000115	
WARN	missing_definition	vegetarian omelette	IAO:0000115	
WARN	missing_definition	Dark yellow vegetables	IAO:0000115	
WARN	missing_definition	Fat vegetables	IAO:0000115	
WARN	missing_definition	Fruity vegetables	IAO:0000115	
WARN	missing_definition	Onion family vegetables	IAO:0000115	
WARN	missing_definition	Nuts and legumes	IAO:0000115	
WARN	missing_definition	cereal	IAO:0000115	
WARN	missing_definition	Whole grain cereal products	IAO:0000115	
WARN	missing_definition	wholegrain	IAO:0000115	
WARN	missing_definition	Biomarkers	IAO:0000115	
WARN	missing_definition	Baking goods	IAO:0000115	
WARN	missing_definition	Confectioneries	IAO:0000115	
WARN	missing_definition	Lean meat	IAO:0000115	
WARN	missing_definition	Red meat	IAO:0000115	
WARN	missing_definition	3-hydroxybenzoic acid glucuronide	IAO:0000115	
WARN	missing_definition	4-hydroxybenzoic acid glucuronide	IAO:0000115	
WARN	missing_definition	2-hydroxybenzoic acid sulfate	IAO:0000115	
WARN	missing_definition	3-hydroxybenzoic acid sulfate	IAO:0000115	
WARN	missing_definition	4-hydroxybenzoic acid sulfate	IAO:0000115	
WARN	missing_definition	2,4-dihydroxybenzoic acid	IAO:0000115	
WARN	missing_definition	3,4-dihydroxybenzoic acid	IAO:0000115	
WARN	missing_definition	3,4-dihydroxybenzoic acid 3-glucuronide	IAO:0000115	
WARN	missing_definition	3,4-dihydroxybenzoic acid 4-glucuronide	IAO:0000115	
WARN	missing_definition	3,5-dihydroxybenzoic acid glucuronide	IAO:0000115	
WARN	missing_definition	3,4-dihydroxybenzoic acid 3-sulfate	IAO:0000115	
WARN	missing_definition	3,4-dihydroxybenzoic acid 4-sulfate	IAO:0000115	
WARN	missing_definition	3,5-dihydroxybenzoic acid sulfate	IAO:0000115	
WARN	missing_definition	vanillic acid glucuronide	IAO:0000115	
WARN	missing_definition	vanillic acid sulfate	IAO:0000115	
WARN	missing_definition	isovanillic acid glucuronide	IAO:0000115	
WARN	missing_definition	isovanillic acid sulfate	IAO:0000115	
WARN	missing_definition	syringic acid glucuronide	IAO:0000115	
WARN	missing_definition	syringic acid sulfate	IAO:0000115	
WARN	missing_definition	gallic acid 3-glucuronide	IAO:0000115	
WARN	missing_definition	gallic acid 4-glucuronide	IAO:0000115	
WARN	missing_definition	gallic acid 3-sulfate	IAO:0000115	
WARN	missing_definition	gallic acid 4-sulfate	IAO:0000115	
WARN	missing_definition	4-methylgallic acid	IAO:0000115	
WARN	missing_definition	ethylgallate	IAO:0000115	
WARN	missing_definition	ethylgallate 3-glucuronide	IAO:0000115	
WARN	missing_definition	ethylgallate 3-sulfate	IAO:0000115	
WARN	missing_definition	2-hydroxyphenylacetic acid glucuronide	IAO:0000115	
WARN	missing_definition	3-hydroxyphenylacetic acid glucuronide	IAO:0000115	
WARN	missing_definition	4-hydroxyphenylacetic acid glucuronide	IAO:0000115	
WARN	missing_definition	2-hydroxyphenylacetic acid sulfate	IAO:0000115	
WARN	missing_definition	3-hydroxyphenylacetic acid sulfate	IAO:0000115	
WARN	missing_definition	4-hydroxyphenylacetic acid sulfate	IAO:0000115	
WARN	missing_definition	3,4-dihydroxyphenylacetic acid	IAO:0000115	
WARN	missing_definition	homovanillic acid 4-glucuronide	IAO:0000115	
WARN	missing_definition	homovanillic acid 4-sulfate	IAO:0000115	
WARN	missing_definition	o-coumaric acid glucuronide	IAO:0000115	
WARN	missing_definition	m-coumaric acid glucuronide	IAO:0000115	
WARN	missing_definition	p-coumaric acid glucuronide	IAO:0000115	
WARN	missing_definition	o-coumaric acid sulfate	IAO:0000115	
WARN	missing_definition	m-coumaric acid sulfate	IAO:0000115	
WARN	missing_definition	p-coumaric acid sulfate	IAO:0000115	
WARN	missing_definition	caffeic acid 3-glucuronide	IAO:0000115	
WARN	missing_definition	caffeic acid 4-glucuronide	IAO:0000115	
WARN	missing_definition	caffeic acid 3-sulfate	IAO:0000115	
WARN	missing_definition	caffeic acid 4-sulfate	IAO:0000115	
WARN	missing_definition	4-caffeoylquinic acid	IAO:0000115	
WARN	missing_definition	3,5-dicaffeoylquinic acid	IAO:0000115	
WARN	missing_definition	4,5-dicaffeoylquinic acid	IAO:0000115	
WARN	missing_definition	3-feruloylquinic acid	IAO:0000115	
WARN	missing_definition	4-feruloylquinic acid	IAO:0000115	
WARN	missing_definition	5-feruloylquinic acid	IAO:0000115	
WARN	missing_definition	ferulic acid 4-glucuronide	IAO:0000115	
WARN	missing_definition	isoferulic acid 3-glucuronide	IAO:0000115	
WARN	missing_definition	ferulic acid 4-sulfate	IAO:0000115	
WARN	missing_definition	isoferulic acid 3-sulfate	IAO:0000115	
WARN	missing_definition	sinapic acid glucuronide	IAO:0000115	
WARN	missing_definition	sinapic acid sulfate	IAO:0000115	
WARN	missing_definition	3-(3,5-dihydroxyphenyl)propionic acid	IAO:0000115	
WARN	missing_definition	3-(3,5-dihydroxyphenyl)propionic acid glucuronide	IAO:0000115	
WARN	missing_definition	3-(3,5-dihydroxyphenyl)propionic acid sulfate	IAO:0000115	
WARN	missing_definition	dihydrocaffeic acid 3-glucuronide	IAO:0000115	
WARN	missing_definition	dihydrocaffeic acid 3-sulfate	IAO:0000115	
WARN	missing_definition	dihydroferulic acid	IAO:0000115	
WARN	missing_definition	dihydroisoferulic acid	IAO:0000115	
WARN	missing_definition	dihydroferulic acid 4-glucuronide	IAO:0000115	
WARN	missing_definition	dihydroisoferulic acid 3-glucuronide	IAO:0000115	
WARN	missing_definition	dihydroferulic acid 4-sulfate	IAO:0000115	
WARN	missing_definition	dihydroisoferulic acid 3-sulfate	IAO:0000115	
WARN	missing_definition	3-(3-hydroxyphenyl)-3-hydroxypropionic acid	IAO:0000115	
WARN	missing_definition	pyrogallol 1-glucuronide	IAO:0000115	
WARN	missing_definition	pyrogallol 2-glucuronide	IAO:0000115	
WARN	missing_definition	pyrogallol 1-sulfate	IAO:0000115	
WARN	missing_definition	pyrogallol 2-sulfate	IAO:0000115	
WARN	missing_definition	1-methylpyrogallol	IAO:0000115	
WARN	missing_definition	2-methylpyrogallol	IAO:0000115	
WARN	missing_definition	catechol glucuronide	IAO:0000115	
WARN	missing_definition	4-methylcatechol 1-glucuronide	IAO:0000115	
WARN	missing_definition	4-methylcatechol 2-glucuronide	IAO:0000115	
WARN	missing_definition	4-methylcatechol 1-sulfate	IAO:0000115	
WARN	missing_definition	4-methylcatechol 2-sulfate	IAO:0000115	
WARN	missing_definition	2,4,6-trihydroxybenzaldehyde	IAO:0000115	
WARN	missing_definition	vanillin glucuronide	IAO:0000115	
WARN	missing_definition	vanillin sulfate	IAO:0000115	
WARN	missing_definition	(epi)catechin 7-glucuronide	IAO:0000115	
WARN	missing_definition	(epi)catechin 5-glucuronide	IAO:0000115	
WARN	missing_definition	(epi)catechin 3-glucuronide	IAO:0000115	
WARN	missing_definition	(epi)catechin 3'-glucuronide	IAO:0000115	
WARN	missing_definition	(epi)catechin 4'-glucuronide	IAO:0000115	
WARN	missing_definition	(epi)catechin 7-sulfate	IAO:0000115	
WARN	missing_definition	(epi)catechin 5-sulfate	IAO:0000115	
WARN	missing_definition	(epi)catechin 3-sulfate	IAO:0000115	
WARN	missing_definition	(epi)catechin 3'-sulfate	IAO:0000115	
WARN	missing_definition	(epi)catechin 4'-sulfate	IAO:0000115	
WARN	missing_definition	4'-methylepicatechin	IAO:0000115	
WARN	missing_definition	3'-methylepicatechin	IAO:0000115	
WARN	missing_definition	epigallocatechin	IAO:0000115	
WARN	missing_definition	epigallocatechin 3-glucuronide	IAO:0000115	
WARN	missing_definition	epigallocatechin 3-sulfate	IAO:0000115	
WARN	missing_definition	theaflavin	IAO:0000115	
WARN	missing_definition	4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid	IAO:0000115	
WARN	missing_definition	4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-glucuronide	IAO:0000115	
WARN	missing_definition	4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-glucuronide	IAO:0000115	
WARN	missing_definition	4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-sulfate	IAO:0000115	
WARN	missing_definition	4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-sulfate	IAO:0000115	
WARN	missing_definition	5-(3'-hydroxyphenyl)-γ-valerolactone 3'-glucuronide	IAO:0000115	
WARN	missing_definition	5-(3'-hydroxyphenyl)-γ-valerolactone 3'-sulfate	IAO:0000115	
WARN	missing_definition	5-(4'-hydroxyphenyl)-γ-valerolactone 4'-sulfate	IAO:0000115	
WARN	missing_definition	5-(3',4'-dihydroxyphenyl)-γ-valerolactone	IAO:0000115	
WARN	missing_definition	5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-glucuronide	IAO:0000115	
WARN	missing_definition	5-(3',4'-dihydroxyphenyl)-γ-valerolactone 4'-glucuronide	IAO:0000115	
WARN	missing_definition	5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-sulfate	IAO:0000115	
WARN	missing_definition	5-(3',5'-dihydroxyphenyl)-γ-valerolactone glucuronide	IAO:0000115	
WARN	missing_definition	5-(3',5'-dihydroxyphenyl)-γ-valerolactone sulfate	IAO:0000115	
WARN	missing_definition	5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone	IAO:0000115	
WARN	missing_definition	5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 3'-glucuronide	IAO:0000115	
WARN	missing_definition	5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 4'-glucuronide	IAO:0000115	
WARN	missing_definition	5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 3'-sulfate	IAO:0000115	
WARN	missing_definition	5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone 4'-sulfate	IAO:0000115	
WARN	missing_definition	5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone	IAO:0000115	
WARN	missing_definition	5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone glucuronide	IAO:0000115	
WARN	missing_definition	5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone sulfate	IAO:0000115	
WARN	missing_definition	naringenin 7-glucuronide	IAO:0000115	
WARN	missing_definition	hesperetin	IAO:0000115	
WARN	missing_definition	hesperetin 3'-glucuronide	IAO:0000115	
WARN	missing_definition	hesperetin 7-glucuronide	IAO:0000115	
WARN	missing_definition	hesperetin 7-sulfate	IAO:0000115	
WARN	missing_definition	bergaptol glucuronide	IAO:0000115	
WARN	missing_definition	bergaptol sulfate	IAO:0000115	
WARN	missing_definition	umbelliferone glucuronide	IAO:0000115	
WARN	missing_definition	umbelliferone sulfate	IAO:0000115	
WARN	missing_definition	daidzein 4'-glucuronide	IAO:0000115	
WARN	missing_definition	daidzein 7-glucuronide	IAO:0000115	
WARN	missing_definition	daidzein diglucuronide	IAO:0000115	
WARN	missing_definition	daidzein 7-glucuronide-4'-sulfate	IAO:0000115	
WARN	missing_definition	daidzein 4'-glucuronide-7-sulfate	IAO:0000115	
WARN	missing_definition	daidzein 4'-sulfate	IAO:0000115	
WARN	missing_definition	genistein 4'-glucuronide	IAO:0000115	
WARN	missing_definition	genistein 7-glucuronide	IAO:0000115	
WARN	missing_definition	genistein diglucuronide	IAO:0000115	
WARN	missing_definition	genistein 4'-glucuronide-7-sulfate	IAO:0000115	
WARN	missing_definition	genistein 7-glucuronide-4'-sulfate	IAO:0000115	
WARN	missing_definition	genistein 7-sulfate	IAO:0000115	
WARN	missing_definition	equol 7-glucuronide	IAO:0000115	
WARN	missing_definition	equol 4'-sulfate	IAO:0000115	
WARN	missing_definition	biochanin a 7-glucuronide	IAO:0000115	
WARN	missing_definition	biochanin a 7-sulfate	IAO:0000115	
WARN	missing_definition	formononetin 7-glucuronide	IAO:0000115	
WARN	missing_definition	formononetin 7-sulfate	IAO:0000115	
WARN	missing_definition	apigenin 7-glucuronide	IAO:0000115	
WARN	missing_definition	luteolin 7-glucuronide	IAO:0000115	
WARN	missing_definition	quercetin 3-glucuronide	IAO:0000115	
WARN	missing_definition	quercetin 3'-glucuronide	IAO:0000115	
WARN	missing_definition	quercetin 3'-sulfate	IAO:0000115	
WARN	missing_definition	isorhamnetin 3-glucuronide	IAO:0000115	
WARN	missing_definition	isorhamnetin 3-sulfate	IAO:0000115	
WARN	missing_definition	kaempferol 3-sulfate	IAO:0000115	
WARN	missing_definition	phloretin glucuronide	IAO:0000115	
WARN	missing_definition	urolithin a	IAO:0000115	
WARN	missing_definition	urolithin b	IAO:0000115	
WARN	missing_definition	urolithin b glucuronide	IAO:0000115	
WARN	missing_definition	urolithin b sulfate	IAO:0000115	
WARN	missing_definition	urolithin c	IAO:0000115	
WARN	missing_definition	urolithin c 3-glucuronide	IAO:0000115	
WARN	missing_definition	urolithin c 3-sulfate	IAO:0000115	
WARN	missing_definition	tyrosol glucuronide	IAO:0000115	
WARN	missing_definition	tyrosol sulfate	IAO:0000115	
WARN	missing_definition	hydroxytyrosol 3'-glucuronide	IAO:0000115	
WARN	missing_definition	hydroxytyrosol 4'-glucuronide	IAO:0000115	
WARN	missing_definition	hydroxytyrosol 3'-sulfate	IAO:0000115	
WARN	missing_definition	hydroxytyrosol 4'-sulfate	IAO:0000115	
WARN	missing_definition	homovanillyl alcohol	IAO:0000115	
WARN	missing_definition	homovanillyl alcohol glucuronide	IAO:0000115	
WARN	missing_definition	homovanillyl alcohol sulfate	IAO:0000115	
WARN	missing_definition	trans-resveratrol 3-glucuronide	IAO:0000115	
WARN	missing_definition	trans-resveratrol 4'-glucuronide	IAO:0000115	
WARN	missing_definition	cis-resveratrol 3-glucuronide	IAO:0000115	
WARN	missing_definition	cis-resveratrol 4'-glucuronide	IAO:0000115	
WARN	missing_definition	trans-resveratrol 4'-sulfate	IAO:0000115	
WARN	missing_definition	cis-resveratrol 3-sulfate	IAO:0000115	
WARN	missing_definition	cis-resveratrol 4'-sulfate	IAO:0000115	
WARN	missing_definition	dihydroresveratrol 4'-glucuronide	IAO:0000115	
WARN	missing_definition	dihydroresveratrol 4'-sulfate	IAO:0000115	
WARN	missing_definition	piceid 3-glucuronide	IAO:0000115	
WARN	missing_definition	piceid 4'-glucuronide	IAO:0000115	
WARN	missing_definition	piceid 3-sulfate	IAO:0000115	
WARN	missing_definition	piceid 4'-sulfate	IAO:0000115	
WARN	missing_definition	curcumin glucuronide	IAO:0000115	
WARN	missing_definition	curcumin sulfate	IAO:0000115	
WARN	missing_definition	enterolactone	IAO:0000115	
WARN	missing_definition	enterolactone 3'-glucuronide	IAO:0000115	
WARN	missing_definition	enterolactone 3'-sulfate	IAO:0000115	
WARN	missing_definition	enterodiol glucuronide	IAO:0000115	
WARN	missing_definition	enterodiol sulfate	IAO:0000115	
