IRI	Label	Issue
http://purl.obolibrary.org/obo/CLAO_0001220	has_part	not an RO property
http://purl.obolibrary.org/obo/CLAO_0001272	encircled by	not an RO property
http://purl.obolibrary.org/obo/CLAO_0001291	ventral_to	not an RO property
http://purl.obolibrary.org/obo/CLAO_0001292	posterior_to	not an RO property
http://purl.obolibrary.org/obo/CLAO_0001298	dorsal_to	not an RO property
http://purl.obolibrary.org/obo/CLAO_0001460	located_in	not an RO property
http://purl.obolibrary.org/obo/CLAO_0001466	encircles	not an RO property
http://purl.obolibrary.org/obo/CLAO_0001516	develops_from	not an RO property
http://purl.obolibrary.org/obo/CLAO_0001517	existence_starts_during	not an RO property
http://purl.obolibrary.org/obo/CLAO_0001531	develops_into	not an RO property
