Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	sphingomyelin homeostasis imbalance [Niemann Pick Disease Type A]	IAO:0000115	<Sphingomyelin homeostasis imbalance is a subtype of lipid homeostasis imbalance: A process that becomes lacking a phospholipid homeostastasis balance.This entity is a specific course-dependent process. This process can constitute the course of Niemann Pick Disease Type A.>
ERROR	duplicate_definition	central nervous system sphingomyelin homeostasis imbalance [Niemann Pick Disease Type A]	IAO:0000115	<Sphingomyelin homeostasis imbalance is a subtype of lipid homeostasis imbalance: A process that becomes lacking a phospholipid homeostastasis balance.This entity is a specific course-dependent process. This process can constitute the course of Niemann Pick Disease Type A.>
ERROR	duplicate_definition	liver cancer dependent molecule (rat)	IAO:0000115	<Liver cancer dependent molecule is a subtype of toxic course dependent chemical entity.This gene can participate in the course of Liver cancer as a gene product.Gene profile:Mouse>
ERROR	duplicate_definition	liver cancer dependent molecule (mouse in vitro)	IAO:0000115	<Liver cancer dependent molecule is a subtype of toxic course dependent chemical entity.This gene can participate in the course of Liver cancer as a gene product.Gene profile:Mouse>
ERROR	duplicate_label	PERK-eIF2a signal transduction system	rdfs:label	PERK-eIF2a signal transduction system
ERROR	duplicate_label	PERK-eIF2a signal transduction system	rdfs:label	PERK-eIF2a signal transduction system
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/txpo.owl	dc:license	
WARN	duplicate_exact_synonym	YAP1 (canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	YAP
WARN	duplicate_exact_synonym	YAP1 (mol)	oboInOwl:hasExactSynonym	YAP
WARN	duplicate_exact_synonym	KDR (canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	VEGFR2
WARN	duplicate_exact_synonym	KDR (mol)	oboInOwl:hasExactSynonym	VEGFR2
WARN	duplicate_exact_synonym	VEGF (canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	VEGFA
WARN	duplicate_exact_synonym	VEGF (human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	VEGFA
WARN	duplicate_exact_synonym	VEGF (canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	vascular endothelial growth factor
WARN	duplicate_exact_synonym	VEGF (human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	vascular endothelial growth factor
WARN	duplicate_exact_synonym	USP7 (human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	ubiquitin specific peptidase 7
WARN	duplicate_exact_synonym	USP7 (mol)	oboInOwl:hasExactSynonym	ubiquitin specific peptidase 7
WARN	duplicate_exact_synonym	TWIST1 [Hepatocarcinogenesis]	oboInOwl:hasExactSynonym	twist family bHLH transcription factor 1 [Hepatocarcinogenesis]
WARN	duplicate_exact_synonym	TWIST1(canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	twist family bHLH transcription factor 1 [Hepatocarcinogenesis]
WARN	duplicate_exact_synonym	CADM1 (rat) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	TSLC1
WARN	duplicate_exact_synonym	CADM1 (mol)	oboInOwl:hasExactSynonym	TSLC1
WARN	duplicate_exact_synonym	1,4-bis[2-(3,5-dichloropyridyloxy)]benzene [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	TCPOBOP
WARN	duplicate_exact_synonym	1,4-bis[2-(3,5-dichloropyridyloxy)]benzene	oboInOwl:hasExactSynonym	TCPOBOP
WARN	duplicate_exact_synonym	sphingomyelin biosynthetic process[Niemann Pick Disease Type A]	oboInOwl:hasExactSynonym	sphingomyelin synthesis
WARN	duplicate_exact_synonym	sphingomyelin biosynthetic process[Niemann Pick Disease Type B]	oboInOwl:hasExactSynonym	sphingomyelin synthesis
WARN	duplicate_exact_synonym	sphingomyelin biosynthetic process[Niemann Pick Disease Type A]	oboInOwl:hasExactSynonym	sphingomyelin formation
WARN	duplicate_exact_synonym	sphingomyelin biosynthetic process[Niemann Pick Disease Type B]	oboInOwl:hasExactSynonym	sphingomyelin formation
WARN	duplicate_exact_synonym	sphingomyelin biosynthetic process[Niemann Pick Disease Type A]	oboInOwl:hasExactSynonym	sphingomyelin biosynthesis
WARN	duplicate_exact_synonym	sphingomyelin biosynthetic process[Niemann Pick Disease Type B]	oboInOwl:hasExactSynonym	sphingomyelin biosynthesis
WARN	duplicate_exact_synonym	sphingomyelin biosynthetic process[Niemann Pick Disease Type A]	oboInOwl:hasExactSynonym	sphingomyelin anabolism
WARN	duplicate_exact_synonym	sphingomyelin biosynthetic process[Niemann Pick Disease Type B]	oboInOwl:hasExactSynonym	sphingomyelin anabolism
WARN	duplicate_exact_synonym	SNAI1 (human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	Snail
WARN	duplicate_exact_synonym	SNAI1 (mol)	oboInOwl:hasExactSynonym	Snail
WARN	duplicate_exact_synonym	SFRP1 (mol)	oboInOwl:hasExactSynonym	secreted frizzled related protein 1
WARN	duplicate_exact_synonym	SFRP1 - inactive form (human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	secreted frizzled related protein 1
WARN	duplicate_exact_synonym	SFRP1 (human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	secreted frizzled related protein 1
WARN	duplicate_exact_synonym	PPARA (canonical)[Eosinophilic granular degeneration]	oboInOwl:hasExactSynonym	Peroxisome Proliferator-Activated Receptor Alpha [Eosinophilic granular degeneration]
WARN	duplicate_exact_synonym	PPAR alpha [Phospholipidosis]	oboInOwl:hasExactSynonym	Peroxisome Proliferator-Activated Receptor Alpha [Eosinophilic granular degeneration]
WARN	duplicate_exact_synonym	KIAA0101 (predicted)(human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	PCLAF
WARN	duplicate_exact_synonym	KIAA0101 - inactive form (predicted)(human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	PCLAF
WARN	duplicate_exact_synonym	Src (canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	p60-Src
WARN	duplicate_exact_synonym	Src (human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	p60-Src
WARN	duplicate_exact_synonym	DNAJC3 (canonical)[ER stress]	oboInOwl:hasExactSynonym	p58IPK [ER stress]
WARN	duplicate_exact_synonym	DNAJC3 -cochaperone (canonical)[ER stress -Refolding [persist]]	oboInOwl:hasExactSynonym	p58IPK [ER stress]
WARN	duplicate_exact_synonym	cytochrome P450 activation [Glutathione depletion]	oboInOwl:hasExactSynonym	P450 activation [Glutathione depletion]
WARN	duplicate_exact_synonym	Cytochrome P450 activation [NASH]	oboInOwl:hasExactSynonym	P450 activation [Glutathione depletion]
WARN	duplicate_exact_synonym	PANDA	oboInOwl:hasExactSynonym	P21 associated ncRNA DNA damage activated
WARN	duplicate_exact_synonym	PANDA (human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	P21 associated ncRNA DNA damage activated
WARN	duplicate_exact_synonym	KIAA0101 (predicted)(human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	NS5ATP9
WARN	duplicate_exact_synonym	KIAA0101 - inactive form (predicted)(human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	NS5ATP9
WARN	duplicate_exact_synonym	CAR (mol)	oboInOwl:hasExactSynonym	NR1I3
WARN	duplicate_exact_synonym	CAR - activation state (mouse) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	NR1I3
WARN	duplicate_exact_synonym	CAR (mouse) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	NR1I3
WARN	duplicate_exact_synonym	NPC2 (canonical)[Niemann-Pick Type C]	oboInOwl:hasExactSynonym	NPC Intracellular Cholesterol Transporter 2 [Niemann-Pick Type C]
WARN	duplicate_exact_synonym	NPC2 (mol)	oboInOwl:hasExactSynonym	NPC Intracellular Cholesterol Transporter 2 [Niemann-Pick Type C]
WARN	duplicate_exact_synonym	PMAIP1 (predicted)(human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	NOXA
WARN	duplicate_exact_synonym	PMAIP1 - inactive form (predicted)(human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	NOXA
WARN	duplicate_exact_synonym	NOS2 (canonical) [mitochondrial disorder]	oboInOwl:hasExactSynonym	nitric oxide synthase 2
WARN	duplicate_exact_synonym	NOS2 (mol)	oboInOwl:hasExactSynonym	nitric oxide synthase 2
WARN	duplicate_exact_synonym	negative regulation of TSLC signaling	oboInOwl:hasExactSynonym	negative regulation of TSLC signalling cascade
WARN	duplicate_exact_synonym	negative regulation of TSLC signaling [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	negative regulation of TSLC signalling cascade
WARN	duplicate_exact_synonym	negative regulation of gap-junctional intercellular communication [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	negative regulation of GJIC
WARN	duplicate_exact_synonym	negative regulation of gap-junctional intercellular communication	oboInOwl:hasExactSynonym	negative regulation of GJIC
WARN	duplicate_exact_synonym	Acetaminophen [Glutathione depletion]	oboInOwl:hasExactSynonym	N-(4-hydroxyphenyl)acetamide
WARN	duplicate_exact_synonym	Acetaminophen [mitochondrial disorder]	oboInOwl:hasExactSynonym	N-(4-hydroxyphenyl)acetamide
WARN	duplicate_exact_synonym	STK3 (canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	MST2
WARN	duplicate_exact_synonym	STK3 (mol)	oboInOwl:hasExactSynonym	MST2
WARN	duplicate_exact_synonym	CHREBP (canonical)[lipidosis]	oboInOwl:hasExactSynonym	MLXIPL
WARN	duplicate_exact_synonym	CHREBP (mol)	oboInOwl:hasExactSynonym	MLXIPL
WARN	duplicate_exact_synonym	GRP78 (canonical)[ER stress]	oboInOwl:hasExactSynonym	MIF2 [ER stress]
WARN	duplicate_exact_synonym	GRP78 (canonical)[hepatocarcinogenesis]	oboInOwl:hasExactSynonym	MIF2 [ER stress]
WARN	duplicate_exact_synonym	GRP78 - stress sensor inhibitor (canonical)[ER stress - proteinrefolding [short-term]]	oboInOwl:hasExactSynonym	MIF2
WARN	duplicate_exact_synonym	GRP78 - chaperone (canonical)[ER stress - proteinrefolding (sustained)]	oboInOwl:hasExactSynonym	MIF2
WARN	duplicate_exact_synonym	lipid accumulation in hepatocyte (severe) [Lipidosis]	oboInOwl:hasExactSynonym	lipid storage in hepatocyte (severe) [Lipidosis]
WARN	duplicate_exact_synonym	lipid accumulation in hepatocyte (severe) [Alcoholic fatty liver]	oboInOwl:hasExactSynonym	lipid storage in hepatocyte (severe) [Lipidosis]
WARN	duplicate_exact_synonym	KRAS (canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	Ki-ras
WARN	duplicate_exact_synonym	KRAS (mouse) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	Ki-ras
WARN	duplicate_exact_synonym	KEAP1 (mol)	oboInOwl:hasExactSynonym	Kelch Like ECH Associated Protein 1
WARN	duplicate_exact_synonym	KEAP1 [Glutathione depletion]	oboInOwl:hasExactSynonym	Kelch Like ECH Associated Protein 1
WARN	duplicate_exact_synonym	KRAS (canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	K-Ras
WARN	duplicate_exact_synonym	KRAS (mouse) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	K-Ras
WARN	duplicate_exact_synonym	CXCL10 (mol)	oboInOwl:hasExactSynonym	IP-10
WARN	duplicate_exact_synonym	CXCL10 (canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	IP-10
WARN	duplicate_exact_synonym	IGFBP3 (mol)	oboInOwl:hasExactSynonym	insulin like growth factor binding protein 3
WARN	duplicate_exact_synonym	IGFBP3 - inactive form (human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	insulin like growth factor binding protein 3
WARN	duplicate_exact_synonym	IGFBP3 (human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	insulin like growth factor binding protein 3
WARN	duplicate_exact_synonym	dysregulation of immune balance [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	immune imbalance
WARN	duplicate_exact_synonym	dysregulation of immune balance	oboInOwl:hasExactSynonym	immune imbalance
WARN	duplicate_exact_synonym	increasing lipid concentration [mitochondrial disorder]	oboInOwl:hasExactSynonym	hyperlipidemia
WARN	duplicate_exact_synonym	increasing lipid concentration	oboInOwl:hasExactSynonym	hyperlipidemia
WARN	duplicate_exact_synonym	increasing blood glucose level [diabetes coruse]	oboInOwl:hasExactSynonym	hyperglycemia
WARN	duplicate_exact_synonym	increasing blood glucose level [mitochondrial disorder]	oboInOwl:hasExactSynonym	hyperglycemia
WARN	duplicate_exact_synonym	Increasing cholesterol concentration in blood	oboInOwl:hasExactSynonym	hypercholesterolemia
WARN	duplicate_exact_synonym	Increasing cholesterol concentration in blood [mitochondrial disorder]	oboInOwl:hasExactSynonym	hypercholesterolemia
WARN	duplicate_exact_synonym	GRP78 (canonical)[ER stress]	oboInOwl:hasExactSynonym	HSPA5 [ER stress]
WARN	duplicate_exact_synonym	GRP78 (canonical)[hepatocarcinogenesis]	oboInOwl:hasExactSynonym	HSPA5 [ER stress]
WARN	duplicate_exact_synonym	BIP (mol)	oboInOwl:hasExactSynonym	HSPA5
WARN	duplicate_exact_synonym	GRP78 - stress sensor inhibitor (canonical)[ER stress - proteinrefolding [short-term]]	oboInOwl:hasExactSynonym	HSPA5
WARN	duplicate_exact_synonym	GRP78 - chaperone (canonical)[ER stress - proteinrefolding (sustained)]	oboInOwl:hasExactSynonym	HSPA5
WARN	duplicate_exact_synonym	HILPDA (predicted)(human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	HIG2
WARN	duplicate_exact_synonym	Increasing HILPDA level [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	HIG2
WARN	duplicate_exact_synonym	MET (canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	HGFR
WARN	duplicate_exact_synonym	MET (mol)	oboInOwl:hasExactSynonym	HGFR
WARN	duplicate_exact_synonym	HULC	oboInOwl:hasExactSynonym	hepatocellular carcinoma up-regulated long non-coding RNA
WARN	duplicate_exact_synonym	HULC (human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	hepatocellular carcinoma up-regulated long non-coding RNA
WARN	duplicate_exact_synonym	GRP78 (canonical)[ER stress]	oboInOwl:hasExactSynonym	HEL-S-89n [ER stress]
WARN	duplicate_exact_synonym	GRP78 (canonical)[hepatocarcinogenesis]	oboInOwl:hasExactSynonym	HEL-S-89n [ER stress]
WARN	duplicate_exact_synonym	GRP78 - stress sensor inhibitor (canonical)[ER stress - proteinrefolding [short-term]]	oboInOwl:hasExactSynonym	HEL-S-89n
WARN	duplicate_exact_synonym	GRP78 - chaperone (canonical)[ER stress - proteinrefolding (sustained)]	oboInOwl:hasExactSynonym	HEL-S-89n
WARN	duplicate_exact_synonym	HHIP (mol)	oboInOwl:hasExactSynonym	hedgehog interacting protein
WARN	duplicate_exact_synonym	HHIP (human) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	hedgehog interacting protein
WARN	duplicate_exact_synonym	GRP78 (canonical)[ER stress]	oboInOwl:hasExactSynonym	Heat Shock Protein Family A (Hsp70) Member 5 [ER stress]
WARN	duplicate_exact_synonym	GRP78 (canonical)[hepatocarcinogenesis]	oboInOwl:hasExactSynonym	Heat Shock Protein Family A (Hsp70) Member 5 [ER stress]
WARN	duplicate_exact_synonym	GRP78 - stress sensor inhibitor (canonical)[ER stress - proteinrefolding [short-term]]	oboInOwl:hasExactSynonym	Heat Shock Protein Family A (Hsp70) Member 5
WARN	duplicate_exact_synonym	GRP78 - chaperone (canonical)[ER stress - proteinrefolding (sustained)]	oboInOwl:hasExactSynonym	Heat Shock Protein Family A (Hsp70) Member 5
WARN	duplicate_exact_synonym	GOT1 (mol)	oboInOwl:hasExactSynonym	glutamic-oxaloacetic transaminase 1
WARN	duplicate_exact_synonym	GOT1 (canonical)[lipidosis]	oboInOwl:hasExactSynonym	glutamic-oxaloacetic transaminase 1
WARN	duplicate_exact_synonym	GPT (mol)	oboInOwl:hasExactSynonym	glutamic--pyruvic transaminase
WARN	duplicate_exact_synonym	GPT (canonical)[lipidosis]	oboInOwl:hasExactSynonym	glutamic--pyruvic transaminase
WARN	duplicate_exact_synonym	GCLC (mol)	oboInOwl:hasExactSynonym	Glutamate-Cysteine Ligase Catalytic Subunit
WARN	duplicate_exact_synonym	GCLC [canonical] (mol)	oboInOwl:hasExactSynonym	Glutamate-Cysteine Ligase Catalytic Subunit
WARN	duplicate_exact_synonym	GGT1 (mol)	oboInOwl:hasExactSynonym	gamma-glutamyltransferase 1
WARN	duplicate_exact_synonym	GGT1 (canonical)[lipidosis]	oboInOwl:hasExactSynonym	gamma-glutamyltransferase 1
WARN	duplicate_exact_synonym	G6PC (mol)	oboInOwl:hasExactSynonym	G6Pase
WARN	duplicate_exact_synonym	glucose-6-phosphatase	oboInOwl:hasExactSynonym	G6Pase
WARN	duplicate_exact_synonym	GTP-binding protein	oboInOwl:hasExactSynonym	G-protein
WARN	duplicate_exact_synonym	trimeric G-protein	oboInOwl:hasExactSynonym	G-protein
WARN	duplicate_exact_synonym	fialuridine [mitochondrial disorder]	oboInOwl:hasExactSynonym	FIAU
WARN	duplicate_exact_synonym	fialuridine	oboInOwl:hasExactSynonym	FIAU
WARN	duplicate_exact_synonym	PTK2 (canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	FAK
WARN	duplicate_exact_synonym	PTK2 (mol)	oboInOwl:hasExactSynonym	FAK
WARN	duplicate_exact_synonym	Dnajb9 apoptosis inhibitor (rat)[ER stress]	oboInOwl:hasExactSynonym	ERDJ4
WARN	duplicate_exact_synonym	Dnajb9 (rat)[ER stress]	oboInOwl:hasExactSynonym	ERDJ4
WARN	duplicate_exact_synonym	DNAJB9 - chaperone -vitro (human)[ER stress]	oboInOwl:hasExactSynonym	ERDJ4
WARN	duplicate_exact_synonym	DNAJB9 - apotosis repressor -vitro (human)[ER stress]	oboInOwl:hasExactSynonym	ERDJ4
WARN	duplicate_exact_synonym	PERK (canonical)[ER stress]	oboInOwl:hasExactSynonym	EIF2AK3
WARN	duplicate_exact_synonym	PERK dimer (canonical)[ER stress]	oboInOwl:hasExactSynonym	EIF2AK3
WARN	duplicate_exact_synonym	CDH1 - inactive form (canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	E-cadherin
WARN	duplicate_exact_synonym	CDH1 (canonical) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	E-cadherin
WARN	duplicate_exact_synonym	DNMT1 (mol)	oboInOwl:hasExactSynonym	DNA methyltransferase 1
WARN	duplicate_exact_synonym	DNMT1 (rat) [hepatocarcinogenesis]	oboInOwl:hasExactSynonym	DNA methyltransferase 1
