Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	obo:cvdo.owl	dc11:description	
ERROR	duplicate_label	left bundle branch block (process)	rdfs:label	left bundle branch block (process)@en
ERROR	duplicate_label	left bundle branch block (process)	rdfs:label	left bundle branch block (process)@en
ERROR	missing_ontology_license	obo:cvdo.owl	dc:license	
ERROR	missing_ontology_title	obo:cvdo.owl	dc11:title	
WARN	duplicate_label_synonym	inflammatory dilated cardiomyopathy	oboInOwl:hasExactSynonym	inflammatory dilated cardiomyopathy@en
WARN	missing_definition	bacterial endocarditis	IAO:0000115	
WARN	missing_definition	viral endocarditis	IAO:0000115	
WARN	missing_definition	fungal endocarditis	IAO:0000115	
WARN	missing_definition	heart disorder	IAO:0000115	
WARN	missing_definition	vascular disorder	IAO:0000115	
WARN	missing_definition	endocardium disorder	IAO:0000115	
WARN	missing_definition	pericardium disorder	IAO:0000115	
WARN	missing_definition	infectious pericarditis	IAO:0000115	
WARN	missing_definition	bacterial pericarditis	IAO:0000115	
WARN	missing_definition	viral pericarditis	IAO:0000115	
WARN	missing_definition	fungal pericarditis	IAO:0000115	
WARN	missing_definition	protozoal pericarditis	IAO:0000115	
WARN	missing_definition	heart pathological process	IAO:0000115	
WARN	missing_definition	pericardium pathological process	IAO:0000115	
WARN	missing_definition	acute pericarditis	IAO:0000115	
WARN	missing_definition	chronic pericarditis	IAO:0000115	
WARN	missing_definition	atrioventricular block (disease)	IAO:0000115	
WARN	missing_definition	first degree atrioventricular block (disease)	IAO:0000115	
WARN	missing_definition	Mobitz I second degree atrioventricular block (disease)	IAO:0000115	
WARN	missing_definition	third degree atrioventricular block (disease)	IAO:0000115	
WARN	missing_definition	heart conduction disorder	IAO:0000115	
WARN	missing_definition	impaired atrioventricular node	IAO:0000115	
WARN	missing_definition	impaired right branch of atrioventricular bundle	IAO:0000115	
WARN	missing_definition	bundle of Kent	IAO:0000115	
WARN	missing_definition	sinoatrial block (disease)	IAO:0000115	
WARN	missing_definition	Mobitz I second degree sinoatrial block (disease)	IAO:0000115	
WARN	missing_definition	Mobitz II second degree sinoatrial block (disease)	IAO:0000115	
WARN	missing_definition	first degree sinoatrial block (disease)	IAO:0000115	
WARN	missing_definition	third degree sinoatrial block (disease)	IAO:0000115	
WARN	missing_definition	impaired sinoatrial node	IAO:0000115	
WARN	missing_definition	heart block (disease)	IAO:0000115	
WARN	missing_definition	impaired posterior division of left branch of atrioventricular bundle	IAO:0000115	
WARN	missing_definition	left posterior fascicular block (disease)	IAO:0000115	
WARN	missing_definition	infra-hisian block (disease)	IAO:0000115	
WARN	missing_definition	left bundle branch block (disease)	IAO:0000115	
WARN	missing_definition	cardiac arrhythmia (disease)	IAO:0000115	
WARN	missing_definition	atrial fibrillation (disease)	IAO:0000115	
WARN	missing_definition	atrial fibrillation (process)	IAO:0000115	
WARN	missing_definition	atrial flutter (disease)	IAO:0000115	
WARN	missing_definition	common atrial flutter (disease)	IAO:0000115	
WARN	missing_definition	cardiac atrium fibrosis	IAO:0000115	
WARN	missing_definition	supraventricular tachycardia (process)	IAO:0000115	
WARN	missing_definition	bradycardia (disease)	IAO:0000115	
WARN	missing_definition	bradycardia (process)	IAO:0000115	
WARN	missing_definition	premature atrial contraction (disease)	IAO:0000115	
WARN	missing_definition	left anterior fascicle	IAO:0000115	
WARN	missing_definition	wandering pacemaker	IAO:0000115	
WARN	missing_definition	tricuspid valve disease	IAO:0000115	
WARN	missing_definition	heart pathological process involving a heart valve	IAO:0000115	
WARN	missing_definition	mitral valve leaflet displacement into the left atrium during left ventricular systole	IAO:0000115	
WARN	missing_definition	tricuspid valve leaflet displacement into the right atrium during right ventricular systole	IAO:0000115	
WARN	missing_definition	aortic valve leaflet displacement into the left ventricle during left ventricular diastole	IAO:0000115	
WARN	missing_definition	heart valve leaflet displacement into a cardiac chamber during ventricular systole	IAO:0000115	
WARN	missing_definition	mitral valve improper close during left ventricular systole	IAO:0000115	
WARN	missing_definition	retrograd blood flow through mitral valve during left ventricular systole	IAO:0000115	
WARN	missing_definition	retrograd blood flow through pulmonary valve during right ventricular diastole	IAO:0000115	
WARN	missing_definition	pulmonary valve improper close during right ventricular diastole	IAO:0000115	
WARN	missing_definition	tricuspid valve improper close during right ventricular systole	IAO:0000115	
WARN	missing_definition	aortic valve improper close during left ventricular diastole	IAO:0000115	
WARN	missing_definition	retrograd blood flow through tricuspid valve during right ventricular systole	IAO:0000115	
WARN	missing_definition	retrograd blood flow through aortic valve during left ventricular diastole	IAO:0000115	
WARN	missing_definition	disturbed anterograd blood flow through mitral valve during left ventricular diastole	IAO:0000115	
WARN	missing_definition	retrograd blood flow through a heart valve	IAO:0000115	
WARN	missing_definition	disturbed anterograd blood flow through a heart valve	IAO:0000115	
WARN	missing_definition	disturbed anterograd blood flow through tricuspid valve during right ventricular diastole	IAO:0000115	
WARN	missing_definition	disturbed anterograd blood flow through pulmonary valve during right ventricular systole	IAO:0000115	
WARN	missing_definition	disturbed anterograd blood flow through aortic valve during left ventricular systole	IAO:0000115	
WARN	missing_definition	heart valve stenosis	IAO:0000115	
WARN	missing_definition	impaired cardiac output	IAO:0000115	
WARN	missing_definition	pressure	IAO:0000115	
WARN	missing_definition	blood pressure	IAO:0000115	
WARN	missing_definition	highly pressured arterial blood flow	IAO:0000115	
WARN	missing_definition	heart valve insufficiency	IAO:0000115	
WARN	missing_definition	heart valve improper close	IAO:0000115	
WARN	missing_definition	vein disorder	IAO:0000115	
WARN	missing_definition	vascular pathological process	IAO:0000115	
WARN	missing_definition	thrombosis	IAO:0000115	
WARN	missing_definition	deep vein thrombosis	IAO:0000115	
WARN	missing_definition	artery hardening	IAO:0000115	
WARN	missing_definition	atheromous plaque formation in artery	IAO:0000115	
WARN	missing_definition	embolism	IAO:0000115	
WARN	missing_definition	aneurysm (disorder)	IAO:0000115	
WARN	missing_definition	ischemic disease	IAO:0000115	
WARN	missing_definition	compression disease	IAO:0000115	
WARN	missing_definition	permanent atrial fibrillation	IAO:0000115	
WARN	missing_definition	right ventricular myocardium dilatation	IAO:0000115	
WARN	missing_definition	aneurysm rupture	IAO:0000115	
WARN	missing_definition	myocardium disorder	IAO:0000115	
WARN	missing_definition	Tako Tsubo cardiomyopathy	IAO:0000115	
WARN	missing_definition	left ventricular noncompaction	IAO:0000115	
WARN	missing_definition	genetic hypertrophic cardiomyopathy	IAO:0000115	
WARN	missing_definition	pericardium disease	IAO:0000115	
WARN	missing_definition	vascular disease - unclassified by CVDO	IAO:0000115	
WARN	missing_definition	cardiac atrium pathological process	IAO:0000115	
WARN	missing_definition	cardiac ventricle pathological process	IAO:0000115	
WARN	missing_definition	thromboembolism	IAO:0000115	
WARN	missing_definition	infarction	IAO:0000115	
WARN	missing_definition	pulmonary valve leaflet displacement into the right ventricle during right ventricular diastole	IAO:0000115	
WARN	missing_definition	cardiac blood circulation pathological process	IAO:0000115	
WARN	missing_definition	vascular blood circulation pathological process	IAO:0000115	
WARN	missing_definition	part of atrial myocardium with impaired conduction	IAO:0000115	
WARN	missing_definition	diabetic microangiopathy	IAO:0000115	
WARN	missing_definition	diabetic macroangiopathy	IAO:0000115	
WARN	missing_definition	atheromous plaque formation in coronary artery	IAO:0000115	
WARN	missing_definition	atherosclerotic coronary heart disease	IAO:0000115	
WARN	missing_definition	left ventricular myocardium dilatation	IAO:0000115	
WARN	missing_definition	supraventricular tachycardia (disease)	IAO:0000115	
WARN	missing_definition	left atrial flutter (disease)	IAO:0000115	
WARN	missing_definition	right atrial flutter (disease)	IAO:0000115	
WARN	missing_definition	junctional tachycardia (disease)	IAO:0000115	
WARN	missing_definition	atrioventricular nodal reentrant tachycardia (disease)	IAO:0000115	
WARN	missing_definition	atrial flutter (process)	IAO:0000115	
WARN	missing_definition	ventricular fibrillation (process)	IAO:0000115	
WARN	missing_definition	junctional tachycardia (process)	IAO:0000115	
WARN	missing_definition	premature atrial contraction (process)	IAO:0000115	
WARN	missing_definition	cardiac arrhythmia (process)	IAO:0000115	
WARN	missing_definition	heart block (process)	IAO:0000115	
WARN	missing_definition	atrioventricular block (process)	IAO:0000115	
WARN	missing_definition	infra-hisian block (process)	IAO:0000115	
WARN	missing_definition	sinoatrial block (process)	IAO:0000115	
WARN	missing_definition	Mobitz I second degree atrioventricular block (process)	IAO:0000115	
WARN	missing_definition	Mobitz II second degree atrioventricular block (process)	IAO:0000115	
WARN	missing_definition	first degree atrioventricular block (process)	IAO:0000115	
WARN	missing_definition	third degree atrioventricular block (process)	IAO:0000115	
WARN	missing_definition	left anterior fascicular block (process)	IAO:0000115	
WARN	missing_definition	left bundle branch block (process)	IAO:0000115	
WARN	missing_definition	left posterior fascicular block (process)	IAO:0000115	
WARN	missing_definition	right bundle branch block (process)	IAO:0000115	
WARN	missing_definition	Mobitz I second degree sinoatrial block (process)	IAO:0000115	
WARN	missing_definition	Mobitz II second degree sinoatrial block (process)	IAO:0000115	
WARN	missing_definition	first degree sinoatrial block (process)	IAO:0000115	
WARN	missing_definition	third degree sinoatrial block (process)	IAO:0000115	
WARN	missing_definition	coronary artery disorder	IAO:0000115	
WARN	missing_definition	ventricular myocardium dilatation	IAO:0000115	
WARN	missing_definition	ventricular myocardium hypertrophy	IAO:0000115	
WARN	missing_definition	left ventricular myocardium hypertrophy	IAO:0000115	
WARN	missing_definition	right ventricular myocardium hypertrophy	IAO:0000115	
WARN	missing_definition	pathological inflammation process	IAO:0000115	
WARN	missing_definition	inflammation process in a myocardium	IAO:0000115	
WARN	missing_definition	inflammation process in an endocardium	IAO:0000115	
WARN	missing_definition	inflammation process in a pericardium	IAO:0000115	
WARN	missing_definition	inflammation process in aorta	IAO:0000115	
WARN	missing_definition	inflammation process in a blood vessel	IAO:0000115	
WARN	missing_definition	inflammation process in a femoral vein	IAO:0000115	
WARN	missing_definition	inflammation process in an iliac vein	IAO:0000115	
WARN	missing_definition	inflammation process in a retinal artery	IAO:0000115	
WARN	missing_definition	inflammation process in a vein	IAO:0000115	
WARN	missing_definition	fibrofatty replacement in a right ventricular myocardium	IAO:0000115	
WARN	missing_definition	CVDO definition	IAO:0000115	
WARN	missing_definition	degenerated structure in an aortic valve leaflet	IAO:0000115	
WARN	missing_definition	degenerated structure in a mitral valve leaflet	IAO:0000115	
WARN	missing_definition	degenerated structure in a tricuspid valve leaflet	IAO:0000115	
WARN	missing_definition	degenerated structure in a pulmonary valve leaflet	IAO:0000115	
WARN	missing_definition	Barlow's syndrome	IAO:0000115	
WARN	missing_definition	fluid accumulation in the pericardial cavity	IAO:0000115	
WARN	missing_definition	atherosclerotic ischemic cardiomyopathy	IAO:0000115	
WARN	missing_definition	paroxysmal atrial fibrillation	IAO:0000115	
WARN	missing_definition	persistent atrial fibrillation	IAO:0000115	
WARN	missing_definition	premature contraction (process)	IAO:0000115	
WARN	missing_definition	premature junctional contraction (process)	IAO:0000115	
WARN	missing_definition	premature ventricular contraction (process)	IAO:0000115	
WARN	missing_definition	sinoatrial arrest (process)	IAO:0000115	
WARN	missing_definition	sinus bradycardia (process)	IAO:0000115	
WARN	missing_definition	tachycardia (process)	IAO:0000115	
WARN	missing_definition	left atrial flutter (process)	IAO:0000115	
WARN	missing_definition	right atrial flutter (process)	IAO:0000115	
WARN	missing_definition	common atrial flutter (process)	IAO:0000115	
WARN	missing_definition	atrioventricular nodal reentrant tachycardia (process)	IAO:0000115	
WARN	missing_definition	ventricular tachycardia (process)	IAO:0000115	
WARN	missing_definition	monomorphic ventricular tachycardia (process)	IAO:0000115	
WARN	missing_definition	torsades de pointes (process)	IAO:0000115	
WARN	missing_definition	ventricular flutter (process)	IAO:0000115	
WARN	missing_definition	inappropriate sinus tachycardia (process)	IAO:0000115	
WARN	missing_definition	ventricular preexcitation (process)	IAO:0000115	
WARN	missing_definition	coronary artery hardening	IAO:0000115	
WARN	missing_definition	accessory bundle	IAO:0000115	
WARN	missing_definition	atrioventricular accessory bundle	IAO:0000115	
WARN	missing_definition	impaired sinus node	IAO:0000115	
WARN	missing_definition	inappropriate sinus tachycardia (disease)	IAO:0000115	
WARN	missing_definition	cardiac channelopathy	IAO:0000115	
WARN	missing_definition	long QT syndrome	IAO:0000115	
WARN	missing_definition	genetic cardiac channelopathy	IAO:0000115	
WARN	missing_definition	sinus bradycardia (disease)	IAO:0000115	
WARN	missing_definition	left bundle branch block (process)	IAO:0000115	
WARN	missing_definition	tachycardia (disease)	IAO:0000115	
WARN	missing_definition	sinoatrial arrest (disease)	IAO:0000115	
WARN	missing_definition	atrioventricular reciprocating tachycardia (disease)	IAO:0000115	
WARN	missing_definition	ventricular tachycardia (disease)	IAO:0000115	
WARN	missing_definition	ventricular flutter (disease)	IAO:0000115	
WARN	missing_definition	torsades de pointes (disease)	IAO:0000115	
WARN	missing_definition	monomorphic ventricular tachycardia (disease)	IAO:0000115	
WARN	missing_definition	ventricular fibrillation (disease)	IAO:0000115	
WARN	missing_definition	ventricular tachyarrhythmia (process)	IAO:0000115	
WARN	missing_definition	atrioventricular reciprocating tachycardia (process)	IAO:0000115	
WARN	missing_definition	premature contraction (disease)	IAO:0000115	
WARN	missing_definition	premature junctional contraction (disease)	IAO:0000115	
WARN	missing_definition	premature ventricular contraction (disease)	IAO:0000115	
WARN	missing_definition	cardiac chamber pathological process	IAO:0000115	
WARN	missing_definition	mitral valve disorder	IAO:0000115	
WARN	missing_definition	aortic valve disorder	IAO:0000115	
WARN	missing_definition	tricuspid valve disorder	IAO:0000115	
WARN	missing_definition	pulmonary valve disorder	IAO:0000115	
WARN	missing_definition	aortic valve improper opening during left ventricular systole	IAO:0000115	
WARN	missing_definition	mitral valve narrowed opening during left ventricular diastole	IAO:0000115	
WARN	missing_definition	pulmonary valve narrowed opening during right ventricular systole	IAO:0000115	
WARN	missing_definition	tricuspid valve narrowed opening during right ventricular diastole	IAO:0000115	
WARN	missing_definition	atherosclerotic acute coronary syndrome	IAO:0000115	
WARN	missing_definition	angina pectoris	IAO:0000115	
WARN	missing_definition	stable angina pectoris	IAO:0000115	
WARN	missing_definition	unstable angina pectoris	IAO:0000115	
WARN	missing_definition	heart pathological process involving an aortic valve	IAO:0000115	
WARN	missing_definition	heart valve leaflet displacement into a cardiac chamber during ventricular diastole	IAO:0000115	
WARN	missing_definition	ventricular systole	IAO:0000115	
WARN	missing_definition	ventricular diastole	IAO:0000115	
WARN	missing_definition	atrial systole	IAO:0000115	
WARN	missing_definition	atrial diastole	IAO:0000115	
WARN	missing_definition	left ventricular diastole	IAO:0000115	
WARN	missing_definition	right ventricular diastole	IAO:0000115	
WARN	missing_definition	left ventricular systole	IAO:0000115	
WARN	missing_definition	right ventricular systole	IAO:0000115	
WARN	missing_definition	left atrial systole	IAO:0000115	
WARN	missing_definition	right atrial systole	IAO:0000115	
WARN	missing_definition	left atrial diastole	IAO:0000115	
WARN	missing_definition	right atrial diastole	IAO:0000115	
WARN	missing_definition	fluid in the pericardial cavity	IAO:0000115	
WARN	missing_definition	blood in the pericardial cavity	IAO:0000115	
WARN	missing_definition	CVDO editor note	IAO:0000115	
WARN	missing_definition	heart conduction pathological process	IAO:0000115	
WARN	missing_definition	anomalous atrioventricular excitation (process)	IAO:0000115	
WARN	missing_definition	ventricular preexcitation (disease)	IAO:0000115	
WARN	missing_definition	cardiac ion channels disorder	IAO:0000115	
WARN	missing_definition	pulmonary valve prolapse	IAO:0000115	
WARN	missing_definition	impaired anterior division of left branch of atrioventricular bundle	IAO:0000115	
WARN	missing_definition	ventricular tachyarrhythmia (disease)	IAO:0000115	
WARN	missing_definition	inflammation process in a heart valve	IAO:0000115	
WARN	missing_definition	heart bodily process	IAO:0000115	
WARN	missing_definition	genetic dilated cardiomyopathy	IAO:0000115	
WARN	missing_definition	genetic cardiomyopathy	IAO:0000115	
WARN	missing_definition	embolus	IAO:0000115	
WARN	missing_definition	inflammatory disease	IAO:0000115	
WARN	missing_definition	myocardium pathological process	IAO:0000115	
WARN	missing_definition	aorta pathological process	IAO:0000115	
WARN	missing_definition	aorta disorder	IAO:0000115	
WARN	missing_definition	endocardium pathological process	IAO:0000115	
WARN	missing_definition	endocardium thickening	IAO:0000115	
WARN	missing_definition	endocardium disease	IAO:0000115	
WARN	missing_definition	left ventricle disorder	IAO:0000115	
WARN	missing_definition	right ventricle disorder	IAO:0000115	
WARN	missing_definition	heart ventricle disorder	IAO:0000115	
WARN	missing_definition	heart ischemia	IAO:0000115	
WARN	missing_definition	vein pathological process	IAO:0000115	
WARN	missing_definition	ischemic cardiomyopathy	IAO:0000115	
WARN	missing_definition	material anatomical entity disorder	IAO:0000115	
WARN	missing_definition	material anatomical entity pathological process	IAO:0000115	
WARN	missing_definition	cardiovascular system disorder	IAO:0000115	
WARN	missing_definition	cardiovascular system pathological process	IAO:0000115	
WARN	missing_definition	disease of material anatomical entity	IAO:0000115	
WARN	missing_definition	valvular cardiomyopathy	IAO:0000115	
WARN	missing_definition	cardiomyopathy (2008 definition)	IAO:0000115	
WARN	missing_definition	left ventricular myocardium contraction dysfunctional process	IAO:0000115	
WARN	missing_definition	myocardium contraction dysfunctional process	IAO:0000115	
WARN	missing_definition	left ventricle pathological process	IAO:0000115	
WARN	missing_definition	right ventricle pathological process	IAO:0000115	
WARN	missing_definition	inflammatory dilated cardiomyopathy	IAO:0000115	
WARN	missing_definition	hypertensive cardiomyopathy	IAO:0000115	
WARN	missing_definition	congenital heart disease	IAO:0000115	
WARN	missing_definition	heart ventricle disease	IAO:0000115	
WARN	missing_definition	left ventricle disease	IAO:0000115	
WARN	missing_definition	right ventricle disease	IAO:0000115	
WARN	missing_definition	ventricular myocardium contraction dysfunctional process	IAO:0000115	
WARN	missing_definition	right ventricular myocardium contraction dysfunctional process	IAO:0000115	
WARN	missing_definition	myocardium of left ventricle stiffening	IAO:0000115	
WARN	missing_definition	heart valve pathological process	IAO:0000115	
WARN	missing_definition	aortic valve pathological process	IAO:0000115	
WARN	missing_definition	mitral valve pathological process	IAO:0000115	
WARN	missing_definition	tricuspid valve pathological process	IAO:0000115	
WARN	missing_definition	pulmonary valve pathological process	IAO:0000115	
WARN	missing_definition	myocardium disease	IAO:0000115	
WARN	missing_definition	genetic heart disease	IAO:0000115	
WARN	missing_definition	congenital disease	IAO:0000115	
WARN	missing_definition	coronary artery pathological process	IAO:0000115	
WARN	missing_definition	coronary artery smooth muscle constriction	IAO:0000115	
INFO	missing_superclass	heart disorder	rdfs:subClassOf	
INFO	missing_superclass	vascular disorder	rdfs:subClassOf	
INFO	missing_superclass	endocardium disorder	rdfs:subClassOf	
INFO	missing_superclass	pericardium disorder	rdfs:subClassOf	
INFO	missing_superclass	heart pathological process	rdfs:subClassOf	
INFO	missing_superclass	pericardium pathological process	rdfs:subClassOf	
INFO	missing_superclass	acute pericarditis	rdfs:subClassOf	
INFO	missing_superclass	chronic pericarditis	rdfs:subClassOf	
INFO	missing_superclass	first degree atrioventricular block (disease)	rdfs:subClassOf	
INFO	missing_superclass	Mobitz I second degree atrioventricular block (disease)	rdfs:subClassOf	
INFO	missing_superclass	third degree atrioventricular block (disease)	rdfs:subClassOf	
INFO	missing_superclass	heart conduction disorder	rdfs:subClassOf	
INFO	missing_superclass	Mobitz I second degree sinoatrial block (disease)	rdfs:subClassOf	
INFO	missing_superclass	Mobitz II second degree sinoatrial block (disease)	rdfs:subClassOf	
INFO	missing_superclass	first degree sinoatrial block (disease)	rdfs:subClassOf	
INFO	missing_superclass	third degree sinoatrial block (disease)	rdfs:subClassOf	
INFO	missing_superclass	heart block (disease)	rdfs:subClassOf	
INFO	missing_superclass	infra-hisian block (disease)	rdfs:subClassOf	
INFO	missing_superclass	cardiac arrhythmia (disease)	rdfs:subClassOf	
INFO	missing_superclass	atrial fibrillation (disease)	rdfs:subClassOf	
INFO	missing_superclass	atrial flutter (disease)	rdfs:subClassOf	
INFO	missing_superclass	common atrial flutter (disease)	rdfs:subClassOf	
INFO	missing_superclass	bradycardia (disease)	rdfs:subClassOf	
INFO	missing_superclass	premature atrial contraction (disease)	rdfs:subClassOf	
INFO	missing_superclass	heart valve disorder	rdfs:subClassOf	
INFO	missing_superclass	tricuspid valve disease	rdfs:subClassOf	
INFO	missing_superclass	heart pathological process involving a heart valve	rdfs:subClassOf	
INFO	missing_superclass	mitral valve leaflet displacement into the left atrium during left ventricular systole	rdfs:subClassOf	
INFO	missing_superclass	tricuspid valve leaflet displacement into the right atrium during right ventricular systole	rdfs:subClassOf	
INFO	missing_superclass	aortic valve leaflet displacement into the left ventricle during left ventricular diastole	rdfs:subClassOf	
INFO	missing_superclass	heart valve leaflet displacement into a cardiac chamber during ventricular systole	rdfs:subClassOf	
INFO	missing_superclass	mitral valve improper close during left ventricular systole	rdfs:subClassOf	
INFO	missing_superclass	pulmonary valve improper close during right ventricular diastole	rdfs:subClassOf	
INFO	missing_superclass	tricuspid valve improper close during right ventricular systole	rdfs:subClassOf	
INFO	missing_superclass	aortic valve improper close during left ventricular diastole	rdfs:subClassOf	
INFO	missing_superclass	heart valve stenosis	rdfs:subClassOf	
INFO	missing_superclass	heart valve insufficiency	rdfs:subClassOf	
INFO	missing_superclass	vein disorder	rdfs:subClassOf	
INFO	missing_superclass	ischemic disease	rdfs:subClassOf	
INFO	missing_superclass	right ventricular myocardium dilatation	rdfs:subClassOf	
INFO	missing_superclass	myocardium disorder	rdfs:subClassOf	
INFO	missing_superclass	genetic hypertrophic cardiomyopathy	rdfs:subClassOf	
INFO	missing_superclass	pericardium disease	rdfs:subClassOf	
INFO	missing_superclass	cardiac atrium pathological process	rdfs:subClassOf	
INFO	missing_superclass	cardiac ventricle pathological process	rdfs:subClassOf	
INFO	missing_superclass	pulmonary valve leaflet displacement into the right ventricle during right ventricular diastole	rdfs:subClassOf	
INFO	missing_superclass	atheromous plaque formation in coronary artery	rdfs:subClassOf	
