Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	CMO:0000327	rdfs:label	sperm count
ERROR	duplicate_label	CMO:0000639	rdfs:label	sperm count
ERROR	duplicate_label	CMO:0000145	rdfs:label	single adrenal gland weight to body weight ratio
ERROR	duplicate_label	CMO:0000619	rdfs:label	single adrenal gland weight to body weight ratio
ERROR	duplicate_label	CMO:0000660	rdfs:label	serum globulin level
ERROR	duplicate_label	CMO:0002399	rdfs:label	serum globulin level
ERROR	duplicate_label	CMO:0000320	rdfs:label	retina cell count
ERROR	duplicate_label	CMO:0003557	rdfs:label	retina cell count
ERROR	duplicate_label	CMO:0000055	rdfs:label	plasma globulin level
ERROR	duplicate_label	CMO:0002401	rdfs:label	plasma globulin level
ERROR	duplicate_label	CMO:0001058	rdfs:label	pancreatic islet area to total pancreatic area ratio
ERROR	duplicate_label	CMO:0001059	rdfs:label	pancreatic islet area to total pancreatic area ratio
ERROR	duplicate_label	CMO:0003977	rdfs:label	mammary gland ribonucleic acid level
ERROR	duplicate_label	CMO:0004005	rdfs:label	mammary gland ribonucleic acid level
ERROR	duplicate_label	CMO:0000414	rdfs:label	mammary gland morphological measurement
ERROR	duplicate_label	CMO:0001083	rdfs:label	mammary gland morphological measurement
ERROR	duplicate_label	CMO:0000096	rdfs:label	lung weight
ERROR	duplicate_label	CMO:0000631	rdfs:label	lung weight
ERROR	duplicate_label	CMO:0003842	rdfs:label	hepatic extraction fraction
ERROR	duplicate_label	CMO:0003846	rdfs:label	hepatic extraction fraction
ERROR	duplicate_label	CMO:0000072	rdfs:label	heart right ventricle wet weight
ERROR	duplicate_label	CMO:0000624	rdfs:label	heart right ventricle wet weight
ERROR	duplicate_label	CMO:0002796	rdfs:label	heart ribonucleic acid composition measurement
ERROR	duplicate_label	CMO:0002933	rdfs:label	heart ribonucleic acid composition measurement
ERROR	duplicate_label	CMO:0000071	rdfs:label	heart left ventricle wet weight
ERROR	duplicate_label	CMO:0000655	rdfs:label	heart left ventricle wet weight
ERROR	duplicate_label	CMO:0003209	rdfs:label	heart left ventricle weight to right ventricle weight ratio
ERROR	duplicate_label	CMO:0003210	rdfs:label	heart left ventricle weight to right ventricle weight ratio
ERROR	duplicate_label	CMO:0000659	rdfs:label	blood globulin measurement
ERROR	duplicate_label	CMO:0002397	rdfs:label	blood globulin measurement
ERROR	duplicate_label	CMO:0000518	rdfs:label	blood apolipoprotein level
ERROR	duplicate_label	CMO:0000552	rdfs:label	blood apolipoprotein level
ERROR	duplicate_label	CMO:0001062	rdfs:label	beta cell area to total pancreatic islet area ratio
ERROR	duplicate_label	CMO:0001063	rdfs:label	beta cell area to total pancreatic islet area ratio
ERROR	duplicate_label	CMO:0004054	rdfs:label	amount of time spent in voluntary immobility after start of conditioned stimulus in a two-way shuttle box
ERROR	duplicate_label	CMO:0004055	rdfs:label	amount of time spent in voluntary immobility after start of conditioned stimulus in a two-way shuttle box
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/cmo.owl	dc:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/cmo.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/cmo.owl	dc:title	
WARN	duplicate_exact_synonym	CMO:0000768	oboInOwl:hasExactSynonym	Not4Curation
WARN	duplicate_exact_synonym	CMO:0002039	oboInOwl:hasExactSynonym	Not4Curation
WARN	duplicate_label_synonym	CMO:0003293	oboInOwl:hasExactSynonym	muscle of leg ribonucleic acid level
WARN	duplicate_label_synonym	CMO:0003629	oboInOwl:hasExactSynonym	renal perfusion index
WARN	duplicate_label_synonym	CMO:0004055	oboInOwl:hasExactSynonym	amount of time spent in voluntary immobility after start of conditioned stimulus in a two-way shuttle box
WARN	missing_definition	CMO:0000215	IAO:0000115	
WARN	missing_definition	CMO:0000216	IAO:0000115	
WARN	missing_definition	CMO:0000218	IAO:0000115	
WARN	missing_definition	CMO:0000219	IAO:0000115	
WARN	missing_definition	CMO:0000236	IAO:0000115	
WARN	missing_definition	CMO:0000252	IAO:0000115	
WARN	missing_definition	CMO:0000274	IAO:0000115	
WARN	missing_definition	CMO:0000275	IAO:0000115	
WARN	missing_definition	CMO:0000276	IAO:0000115	
WARN	missing_definition	CMO:0000279	IAO:0000115	
WARN	missing_definition	CMO:0000287	IAO:0000115	
WARN	missing_definition	CMO:0000296	IAO:0000115	
WARN	missing_definition	CMO:0000302	IAO:0000115	
WARN	missing_definition	CMO:0000305	IAO:0000115	
WARN	missing_definition	CMO:0000314	IAO:0000115	
WARN	missing_definition	CMO:0000331	IAO:0000115	
WARN	missing_definition	CMO:0000354	IAO:0000115	
WARN	missing_definition	CMO:0000389	IAO:0000115	
WARN	missing_definition	CMO:0000392	IAO:0000115	
WARN	missing_definition	CMO:0000393	IAO:0000115	
WARN	missing_definition	CMO:0000394	IAO:0000115	
WARN	missing_definition	CMO:0000397	IAO:0000115	
WARN	missing_definition	CMO:0000398	IAO:0000115	
WARN	missing_definition	CMO:0000400	IAO:0000115	
WARN	missing_definition	CMO:0000405	IAO:0000115	
WARN	missing_definition	CMO:0000409	IAO:0000115	
WARN	missing_definition	CMO:0000410	IAO:0000115	
WARN	missing_definition	CMO:0000411	IAO:0000115	
WARN	missing_definition	CMO:0000412	IAO:0000115	
WARN	missing_definition	CMO:0000413	IAO:0000115	
WARN	missing_definition	CMO:0000416	IAO:0000115	
WARN	missing_definition	CMO:0000424	IAO:0000115	
WARN	missing_definition	CMO:0000484	IAO:0000115	
WARN	missing_definition	CMO:0000491	IAO:0000115	
WARN	missing_definition	CMO:0000493	IAO:0000115	
WARN	missing_definition	CMO:0000494	IAO:0000115	
WARN	missing_definition	CMO:0000498	IAO:0000115	
WARN	missing_definition	CMO:0000505	IAO:0000115	
WARN	missing_definition	CMO:0000510	IAO:0000115	
WARN	missing_definition	CMO:0000511	IAO:0000115	
WARN	missing_definition	CMO:0000512	IAO:0000115	
WARN	missing_definition	CMO:0000513	IAO:0000115	
WARN	missing_definition	CMO:0000514	IAO:0000115	
WARN	missing_definition	CMO:0000520	IAO:0000115	
WARN	missing_definition	CMO:0000521	IAO:0000115	
WARN	missing_definition	CMO:0000522	IAO:0000115	
WARN	missing_definition	CMO:0000523	IAO:0000115	
WARN	missing_definition	CMO:0000524	IAO:0000115	
WARN	missing_definition	CMO:0000525	IAO:0000115	
WARN	missing_definition	CMO:0000526	IAO:0000115	
WARN	missing_definition	CMO:0000538	IAO:0000115	
WARN	missing_definition	CMO:0000539	IAO:0000115	
WARN	missing_definition	CMO:0000541	IAO:0000115	
WARN	missing_definition	CMO:0000544	IAO:0000115	
WARN	missing_definition	CMO:0000545	IAO:0000115	
WARN	missing_definition	CMO:0000551	IAO:0000115	
WARN	missing_definition	CMO:0000553	IAO:0000115	
WARN	missing_definition	CMO:0000554	IAO:0000115	
WARN	missing_definition	CMO:0000555	IAO:0000115	
WARN	missing_definition	CMO:0000556	IAO:0000115	
WARN	missing_definition	CMO:0000557	IAO:0000115	
WARN	missing_definition	CMO:0000558	IAO:0000115	
WARN	missing_definition	CMO:0000559	IAO:0000115	
WARN	missing_definition	CMO:0000560	IAO:0000115	
WARN	missing_definition	CMO:0000561	IAO:0000115	
WARN	missing_definition	CMO:0000562	IAO:0000115	
WARN	missing_definition	CMO:0000563	IAO:0000115	
WARN	missing_definition	CMO:0000564	IAO:0000115	
WARN	missing_definition	CMO:0000565	IAO:0000115	
WARN	missing_definition	CMO:0000566	IAO:0000115	
WARN	missing_definition	CMO:0000567	IAO:0000115	
WARN	missing_definition	CMO:0000568	IAO:0000115	
WARN	missing_definition	CMO:0000582	IAO:0000115	
WARN	missing_definition	CMO:0000583	IAO:0000115	
WARN	missing_definition	CMO:0000591	IAO:0000115	
WARN	missing_definition	CMO:0000592	IAO:0000115	
WARN	missing_definition	CMO:0000593	IAO:0000115	
WARN	missing_definition	CMO:0000594	IAO:0000115	
WARN	missing_definition	CMO:0000611	IAO:0000115	
WARN	missing_definition	CMO:0000612	IAO:0000115	
WARN	missing_definition	CMO:0000613	IAO:0000115	
WARN	missing_definition	CMO:0000616	IAO:0000115	
WARN	missing_definition	CMO:0000617	IAO:0000115	
WARN	missing_definition	CMO:0000618	IAO:0000115	
WARN	missing_definition	CMO:0000625	IAO:0000115	
WARN	missing_definition	CMO:0000628	IAO:0000115	
WARN	missing_definition	CMO:0000629	IAO:0000115	
WARN	missing_definition	CMO:0000630	IAO:0000115	
WARN	missing_definition	CMO:0000634	IAO:0000115	
WARN	missing_definition	CMO:0000653	IAO:0000115	
WARN	missing_definition	CMO:0000656	IAO:0000115	
WARN	missing_definition	CMO:0000670	IAO:0000115	
WARN	missing_definition	CMO:0000689	IAO:0000115	
WARN	missing_definition	CMO:0000690	IAO:0000115	
WARN	missing_definition	CMO:0000691	IAO:0000115	
WARN	missing_definition	CMO:0000692	IAO:0000115	
WARN	missing_definition	CMO:0000693	IAO:0000115	
WARN	missing_definition	CMO:0000694	IAO:0000115	
WARN	missing_definition	CMO:0000695	IAO:0000115	
WARN	missing_definition	CMO:0000696	IAO:0000115	
WARN	missing_definition	CMO:0000697	IAO:0000115	
WARN	missing_definition	CMO:0000698	IAO:0000115	
WARN	missing_definition	CMO:0000703	IAO:0000115	
WARN	missing_definition	CMO:0000705	IAO:0000115	
WARN	missing_definition	CMO:0000707	IAO:0000115	
WARN	missing_definition	CMO:0000708	IAO:0000115	
WARN	missing_definition	CMO:0000709	IAO:0000115	
WARN	missing_definition	CMO:0000710	IAO:0000115	
WARN	missing_definition	CMO:0000712	IAO:0000115	
WARN	missing_definition	CMO:0000714	IAO:0000115	
WARN	missing_definition	CMO:0000715	IAO:0000115	
WARN	missing_definition	CMO:0000718	IAO:0000115	
WARN	missing_definition	CMO:0000728	IAO:0000115	
WARN	missing_definition	CMO:0000734	IAO:0000115	
WARN	missing_definition	CMO:0000735	IAO:0000115	
WARN	missing_definition	CMO:0000736	IAO:0000115	
WARN	missing_definition	CMO:0000742	IAO:0000115	
WARN	missing_definition	CMO:0000748	IAO:0000115	
WARN	missing_definition	CMO:0000749	IAO:0000115	
WARN	missing_definition	CMO:0000750	IAO:0000115	
WARN	missing_definition	CMO:0000756	IAO:0000115	
WARN	missing_definition	CMO:0000763	IAO:0000115	
WARN	missing_definition	CMO:0000767	IAO:0000115	
WARN	missing_definition	CMO:0000769	IAO:0000115	
WARN	missing_definition	CMO:0000770	IAO:0000115	
WARN	missing_definition	CMO:0000776	IAO:0000115	
WARN	missing_definition	CMO:0000777	IAO:0000115	
