Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	diethyl sulfate	textual definition	No description.
ERROR	duplicate_definition	2-chloroethyl methanesulfonate	textual definition	No description.
ERROR	duplicate_definition	2-fluoroethyl methanesulfonate	textual definition	No description.
ERROR	duplicate_definition	carbamate	textual definition	No description.
ERROR	duplicate_definition	vinyl carbamate	textual definition	No description.
ERROR	duplicate_definition	mitomycin C	textual definition	No description.
ERROR	duplicate_definition	quinacrine mustard	textual definition	No description.
ERROR	duplicate_definition	ICR 170	textual definition	No description.
ERROR	duplicate_definition	aminopterin	textual definition	No description.
ERROR	duplicate_definition	H3BO3	textual definition	No description.
ERROR	duplicate_definition	diepoxybutane	textual definition	No description.
ERROR	duplicate_definition	diepoxyoctane	textual definition	No description.
ERROR	duplicate_definition	1,2:5,6-dibenzanthracene	textual definition	No description.
ERROR	duplicate_definition	1-amino-2-naphthol-4-sulfonic acid	textual definition	No description.
ERROR	duplicate_definition	actinomycin D	textual definition	No description.
ERROR	duplicate_definition	ethylenimine	textual definition	No description.
ERROR	duplicate_definition	fagaronine	textual definition	No description.
ERROR	duplicate_definition	hexamethylmelamine	textual definition	No description.
ERROR	duplicate_definition	hexamethylphosphoramide	textual definition	No description.
ERROR	duplicate_definition	Janus green B	textual definition	No description.
ERROR	duplicate_definition	methoxy diethylnitrosamine	textual definition	No description.
ERROR	duplicate_definition	N-nitrosodimethylamine	textual definition	No description.
ERROR	duplicate_definition	p-N,N-di(2-chloroethyl)aminophenylvaleric acid	textual definition	No description.
ERROR	duplicate_definition	p-N,N-di-(2-chloroethyl)amino-D-phenylalanine	textual definition	No description.
ERROR	duplicate_definition	p-N,N-di-(2-chloroethyl)amino-L-phenylalanine	textual definition	No description.
ERROR	duplicate_definition	p-N,N-di-(2-chloroethyl)aminophenylethylamine	textual definition	No description.
ERROR	duplicate_definition	p-p'-N,N-di(2-chloroethyl)aminophenoxyphenylalanine	textual definition	No description.
ERROR	duplicate_definition	quinhydrone	textual definition	No description.
ERROR	duplicate_definition	S-2-chloroethylcysteine	textual definition	No description.
ERROR	duplicate_definition	styryl quinoline	textual definition	No description.
ERROR	duplicate_definition	triethylenemelamine	textual definition	No description.
ERROR	duplicate_definition	alkylating agent	textual definition	.
ERROR	duplicate_definition	intercalating agent	textual definition	.
ERROR	duplicate_definition	enzyme inhibitor	textual definition	.
ERROR	missing_label	CHEBI:13941	label	
ERROR	missing_label	CHEBI:16842	label	
ERROR	missing_label	CHEBI:16991	label	
ERROR	missing_label	CHEBI:17967	label	
ERROR	missing_label	CHEBI:19024	label	
ERROR	missing_label	CHEBI:19032	label	
ERROR	missing_label	CHEBI:19363	label	
ERROR	missing_label	CHEBI:19508	label	
ERROR	missing_label	CHEBI:19579	label	
ERROR	missing_label	CHEBI:20552	label	
ERROR	missing_label	CHEBI:20553	label	
ERROR	missing_label	CHEBI:20787	label	
ERROR	missing_label	CHEBI:21183	label	
ERROR	missing_label	CHEBI:21184	label	
ERROR	missing_label	CHEBI:21759	label	
ERROR	missing_label	CHEBI:22025	label	
ERROR	missing_label	CHEBI:22526	label	
ERROR	missing_label	CHEBI:23359	label	
ERROR	missing_label	CHEBI:23414	label	
ERROR	missing_label	CHEBI:23704	label	
ERROR	missing_label	CHEBI:23705	label	
ERROR	missing_label	CHEBI:23994	label	
ERROR	missing_label	CHEBI:23995	label	
ERROR	missing_label	CHEBI:24431	label	
ERROR	missing_label	CHEBI:24564	label	
ERROR	missing_label	CHEBI:24565	label	
ERROR	missing_label	CHEBI:24624	label	
ERROR	missing_label	CHEBI:24835	label	
ERROR	missing_label	CHEBI:24859	label	
ERROR	missing_label	CHEBI:25234	label	
ERROR	missing_label	CHEBI:25255	label	
ERROR	missing_label	CHEBI:25434	label	
ERROR	missing_label	CHEBI:25813	label	
ERROR	missing_label	CHEBI:25814	label	
