Level	Rule Name	Subject	Property	Value
WARN	equivalent_class_axiom_no_genus	role directive	http://www.ontologyrepository.com/CommonCoreOntologies/prescribes	BFO:0000023
WARN	missing_definition	term_mapping_to_UMLS	IAO:0000115	
WARN	missing_definition	term_mapping_to_NCIT	IAO:0000115	
WARN	missing_definition	term_mapping_to_HL7v3	IAO:0000115	
WARN	missing_definition	has agent	IAO:0000115	
WARN	missing_definition	description of voluntary participation	IAO:0000115	
WARN	missing_definition	description of expected study participation duration	IAO:0000115	
WARN	missing_definition	description of breach of confidentiality	IAO:0000115	
WARN	missing_definition	RUBRIC	IAO:0000115	
WARN	duplicate_label_synonym	institutional review board approval number	IAO:0000118	institutional review board approval number@en
INFO	missing_superclass	assenter	rdfs:subClassOf	
INFO	missing_superclass	consenter	rdfs:subClassOf	
INFO	lowercase_definition	research assistant role	IAO:0000115	a role inhering in a homo sapiens that, if realized, is realized in assisting with a research process.@en
INFO	lowercase_definition	obsolete informed consent	IAO:0000115	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3777303/@en
INFO	lowercase_definition	assenter role	IAO:0000115	a role that inheres in a human subject who participates in an assending process.@en
