Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	myotome somite 26	IAO:0000115	Portion of somite 16 that gives rise to body wall muscle masses.
ERROR	duplicate_definition	myotome somite 16	IAO:0000115	Portion of somite 16 that gives rise to body wall muscle masses.
ERROR	duplicate_definition	posterior lateral line	IAO:0000115	<One of eight distinct lateral lines in the 4-day larva. A sensory system on the surface of the fish, consisting of small sensory patches (neuromasts) distributed in discrete lines over the body surface. The lateral line system is stimulated by local water displacements and vibrations, and detects propulsion of the fish through the water, as well as facilitating shoaling, prey capture, and predator and obstacle avoidance. (See Anatomical Atlas entry for <a href='http://zfin.org/zf_info/anatomy/dict/lat_line/lat_line.html'>lateral line</a> by T. Whitfield.)>
ERROR	duplicate_definition	dorsal lateral line	IAO:0000115	<One of eight distinct lateral lines in the 4-day larva. A sensory system on the surface of the fish, consisting of small sensory patches (neuromasts) distributed in discrete lines over the body surface. The lateral line system is stimulated by local water displacements and vibrations, and detects propulsion of the fish through the water, as well as facilitating shoaling, prey capture, and predator and obstacle avoidance. (See Anatomical Atlas entry for <a href='http://zfin.org/zf_info/anatomy/dict/lat_line/lat_line.html'>lateral line</a> by T. Whitfield.)>
ERROR	duplicate_definition	mdG1	IAO:0000115	Glomerulus located in the mediodorsal zone of the olfactory bulb.
ERROR	duplicate_definition	mdG2	IAO:0000115	Glomerulus located in the mediodorsal zone of the olfactory bulb.
ERROR	duplicate_definition	mdG3	IAO:0000115	Glomerulus located in the mediodorsal zone of the olfactory bulb.
ERROR	duplicate_definition	mdG4	IAO:0000115	Glomerulus located in the mediodorsal zone of the olfactory bulb.
ERROR	duplicate_definition	mdG5	IAO:0000115	Glomerulus located in the mediodorsal zone of the olfactory bulb.
ERROR	duplicate_definition	mdG6	IAO:0000115	Glomerulus located in the mediodorsal zone of the olfactory bulb.
ERROR	duplicate_definition	fourth ventricle	IAO:0000115	Fluid-filled brain cavity.
ERROR	duplicate_definition	third ventricle	IAO:0000115	Fluid-filled brain cavity.
ERROR	duplicate_definition	torus lateralis	IAO:0000115	Diencephalic nucleus which is part of the caudal tuberculum. From Neuroanatomy of the Zebrafish Brain.
ERROR	duplicate_definition	caudal thalamic nucleus	IAO:0000115	Diencephalic nucleus which is part of the caudal tuberculum. From Neuroanatomy of the Zebrafish Brain.
ERROR	duplicate_definition	nucleus subglomerulosis	IAO:0000115	Diencephalic nucleus which is part of the caudal tuberculum. From Neuroanatomy of the Zebrafish Brain.
ERROR	duplicate_definition	cranial nerve X	IAO:0000115	Cranial nerve that innervates gill muscles.
ERROR	duplicate_definition	cranial nerve IX	IAO:0000115	Cranial nerve that innervates gill muscles.
ERROR	duplicate_definition	RoL2r	IAO:0000115	A RoL2 interneuron that is part of rhombomere 2.
ERROR	duplicate_definition	RoL2c	IAO:0000115	A RoL2 interneuron that is part of rhombomere 2.
ERROR	missing_ontology_description	obo:zfa.owl	dc11:description	
ERROR	missing_ontology_title	obo:zfa.owl	dc11:title	
WARN	annotation_whitespace	corpus cerebelli	oboInOwl:hasExactSynonym	corpus cerebelli granular layer 
WARN	annotation_whitespace	superior caudal dorsal flexor	oboInOwl:hasExactSynonym	flexor caudalis dorsalis superioris  
WARN	annotation_whitespace	upper oral valve	oboInOwl:hasExactSynonym	upper semilunar valve 
WARN	annotation_whitespace	dilatator operculi	oboInOwl:hasExactSynonym	 dilatator opercula
WARN	annotation_whitespace	facial lobe	oboInOwl:hasRelatedSynonym	tuberculum impar of Herrick 
WARN	annotation_whitespace	posttemporal	oboInOwl:hasRelatedSynonym	post-temporal 
WARN	annotation_whitespace	statoacoustic (VIII) ganglion	oboInOwl:hasExactSynonym	octaval ganglion 
WARN	annotation_whitespace	torus semicircularis	oboInOwl:hasExactSynonym	semicircular torus 
WARN	annotation_whitespace	ventral transverse	oboInOwl:hasExactSynonym	transversus ventralis 
WARN	annotation_whitespace	caudal hypothalamic zone	oboInOwl:hasExactSynonym	hypothalamus pars tuberalis 
WARN	annotation_whitespace	telencephalic ventricle	oboInOwl:hasExactSynonym	ventriculi telencephali 
WARN	annotation_whitespace	intestinal bulb	oboInOwl:hasExactSynonym	 pseudogaster 
WARN	annotation_whitespace	myocardium	oboInOwl:hasRelatedSynonym	heart muscle 
WARN	annotation_whitespace	choroid plexus third ventricle	oboInOwl:hasExactSynonym	diencephalic choroid plexus 
WARN	annotation_whitespace	pronephric glomerulus	oboInOwl:hasExactSynonym	pronephric glomus 
WARN	annotation_whitespace	preural centrum 1+ ural centrum 1	oboInOwl:hasRelatedSynonym	urostyle 
WARN	annotation_whitespace	caudal fin procurrent ray	oboInOwl:hasRelatedSynonym	caudal procurrent ray 
WARN	annotation_whitespace	dorsal fin radial	oboInOwl:hasRelatedSynonym	dorsal fin pterygiophore 
WARN	annotation_whitespace	head muscle	oboInOwl:hasRelatedSynonym	cranial muscle 
WARN	annotation_whitespace	solid lens vesicle	oboInOwl:hasExactSynonym	 immature lens
WARN	annotation_whitespace	scale primordium	oboInOwl:hasExactSynonym	scale primordia 
WARN	annotation_whitespace	aortic arch	oboInOwl:hasExactSynonym	branchial aortic arches 
WARN	annotation_whitespace	ventral wall of dorsal aorta	oboInOwl:hasExactSynonym	DA-PCV joint 
WARN	annotation_whitespace	peripheral cardiac conduction system	oboInOwl:hasRelatedSynonym	distal conduction system 
WARN	annotation_whitespace	dentine	oboInOwl:hasExactSynonym	dentin 
WARN	annotation_whitespace	MiD2i	oboInOwl:hasExactSynonym	middle dorsal 2 ipsilateral interneuron 
WARN	annotation_whitespace	MiD2cl	oboInOwl:hasExactSynonym	middle dorsal 2 contralateral llf interneuron 
WARN	annotation_whitespace	MiD2cm	oboInOwl:hasExactSynonym	middle dorsal 2 contralateral mlf interneuron 
WARN	annotation_whitespace	MiM1	oboInOwl:hasExactSynonym	middle medial interneuron 
WARN	annotation_whitespace	MiR1	oboInOwl:hasExactSynonym	middle rostral 1 interneuron 
WARN	annotation_whitespace	MiR2	oboInOwl:hasExactSynonym	middle rostral 2 interneuron 
WARN	annotation_whitespace	MiV1	oboInOwl:hasExactSynonym	middle ventral 1 neuron 
WARN	annotation_whitespace	MiV2	oboInOwl:hasExactSynonym	middle ventral 2 neuron 
WARN	annotation_whitespace	RoI2C	oboInOwl:hasExactSynonym	rostral intermediate 2 caudal interneuron 
