Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	altered fraction of non-constricted cells	IAO:0000115	population growth phenotype
ERROR	duplicate_definition	altered cell division during cell population growth	IAO:0000115	population growth phenotype
ERROR	duplicate_definition	altered cell circularity	IAO:0000115	Cell circularity is defined as (2*pi*cell area/(cell perimeter)^2).
ERROR	duplicate_definition	altered cell circularity variability	IAO:0000115	Cell circularity is defined as (2*pi*cell area/(cell perimeter)^2).
ERROR	duplicate_definition	presence of acid-fast stain	IAO:0000115	An acid-fast stain phenotype where a cell or cells that have been stained, typically with carbolfuchsin, are not easily decolorized by acid--alcohol.
ERROR	duplicate_definition	absence of acid-fast stain	IAO:0000115	An acid-fast stain phenotype where a cell or cells that have been stained, typically with carbolfuchsin, are not easily decolorized by acid--alcohol.
ERROR	duplicate_definition	decreased lethality in mice	IAO:0000115	A decreased lethality phenotype where the ability of an infectious microbe to cause death of its murine host is decreased relative to a designated control.
ERROR	duplicate_definition	increased lethality in mice	IAO:0000115	A decreased lethality phenotype where the ability of an infectious microbe to cause death of its murine host is decreased relative to a designated control.
ERROR	missing_ontology_description	obo:omp.owl	dc11:description	
ERROR	duplicate_label	presence of vegetative cell population growth	rdfs:label	presence of vegetative cell population growth
ERROR	duplicate_label	presence of vegetative cell population growth	rdfs:label	presence of vegetative cell population growth
ERROR	duplicate_label	plaque size phenotype	rdfs:label	plaque size phenotype
ERROR	duplicate_label	plaque size phenotype	rdfs:label	plaque size phenotype
ERROR	duplicate_label	plaque size phenotype	rdfs:label	plaque size phenotype
ERROR	duplicate_label	plaque morphology phenotype	rdfs:label	plaque morphology phenotype
ERROR	duplicate_label	plaque morphology phenotype	rdfs:label	plaque morphology phenotype
ERROR	duplicate_label	plaque appearance phenotype	rdfs:label	plaque appearance phenotype
ERROR	duplicate_label	plaque appearance phenotype	rdfs:label	plaque appearance phenotype
ERROR	duplicate_label	nonviable vegetative cell population	rdfs:label	nonviable vegetative cell population
ERROR	duplicate_label	nonviable vegetative cell population	rdfs:label	nonviable vegetative cell population
ERROR	duplicate_label	nonviable cell population	rdfs:label	nonviable cell population
ERROR	duplicate_label	nonviable cell population	rdfs:label	nonviable cell population
ERROR	duplicate_label	increased cellular pigment accumulation	rdfs:label	increased cellular pigment accumulation
ERROR	duplicate_label	increased cellular pigment accumulation	rdfs:label	increased cellular pigment accumulation
ERROR	duplicate_label	cell wall morphology phenotype	rdfs:label	cell wall morphology phenotype
ERROR	duplicate_label	cell wall morphology phenotype	rdfs:label	cell wall morphology phenotype
ERROR	duplicate_label	altered plaque size phenotype	rdfs:label	altered plaque size phenotype
ERROR	duplicate_label	altered plaque size phenotype	rdfs:label	altered plaque size phenotype
ERROR	duplicate_label	altered plaque morphology phenotype	rdfs:label	altered plaque morphology phenotype
ERROR	duplicate_label	altered plaque morphology phenotype	rdfs:label	altered plaque morphology phenotype
ERROR	duplicate_label	altered actin cytoskeleton	rdfs:label	altered actin cytoskeleton
ERROR	duplicate_label	altered actin cytoskeleton	rdfs:label	altered actin cytoskeleton
ERROR	missing_ontology_license	obo:omp.owl	dc:license	
ERROR	missing_ontology_title	obo:omp.owl	dc11:title	
WARN	annotation_whitespace	decreased resistance to dessication stress	oboInOwl:hasRelatedSynonym	increased dessication sensitivity 
WARN	annotation_whitespace	decreased resistance to freeze/thawing stress	oboInOwl:hasRelatedSynonym	decreased freeze/thaw sensitivity. 
WARN	annotation_whitespace	decreased resistance to x-ray radiation	oboInOwl:hasNarrowSynonym	increased x-ray sensitivity 
