Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/MF.owl	dc:license	
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/MF.owl	dc:description	
ERROR	multiple_definitions	determining gender	IAO:0000115	A judging process during which an opinion about the gender of a person is determined.
ERROR	multiple_definitions	determining gender	IAO:0000115	A judging that involves forming an opinion about the gender of a person.
WARN	missing_definition	disposition to be agent of mental process	IAO:0000115	
WARN	missing_definition	mathematical problem solving behavior	IAO:0000115	
WARN	missing_definition	visual problem solving behavior	IAO:0000115	
WARN	missing_definition	language problem solving behavior	IAO:0000115	
WARN	missing_definition	introversion	IAO:0000115	
WARN	missing_definition	preference	IAO:0000115	
WARN	missing_definition	problem solving behaviour	IAO:0000115	
WARN	annotation_whitespace	irascibility	IAO:0000115	A mental disposition to frequent or easily incited outbursts of anger. 
WARN	annotation_whitespace	mental disposition	IAO:0000115	A mental disposition is a bodily disposition that is realized in a mental process. 
WARN	annotation_whitespace	libido	IAO:0000115	"
The psychic energy that drives individuals toward sensual pleasures of all types, especially sexual ones.


http://www.apa.org/research/action/glossary.aspx"
WARN	annotation_whitespace	personality trait	IAO:0000115	A personality trait is an individual disposition or predisposition that forms part of an overall personality and is realized in repeated occurrences of a specific mental process type or behavioural profile. 
WARN	equivalent_class_axiom_no_genus	bodily disposition	BFO:0000052	OGMS:0000087
INFO	lowercase_definition	remembering	IAO:0000115	(for the case of remembering X, where X is an event in the organism’s history) a mental process that is a) about X, and b) made possible by the physical traces left by a causal process involving the organism during the event X
INFO	lowercase_definition	thinking	IAO:0000115	a mental process that involves the manipulation of mental language and/or mental images
INFO	lowercase_definition	attending	IAO:0000115	the process whereby relevant aspects of our mental experience are focused on specific targets
INFO	lowercase_definition	libido	IAO:0000115	"
The psychic energy that drives individuals toward sensual pleasures of all types, especially sexual ones.


http://www.apa.org/research/action/glossary.aspx"
