Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	renal dysfunction AE	IAO:0000115	Renal dysfunction AE is a kidney AE that has an outcome of reduced capacity to excrete metabolic products which accumulate systemically and are detectable clinicopathologically by renal function tests. The early stage of uremia.
ERROR	duplicate_definition	renal insufficiency AE	IAO:0000115	Renal dysfunction AE is a kidney AE that has an outcome of reduced capacity to excrete metabolic products which accumulate systemically and are detectable clinicopathologically by renal function tests. The early stage of uremia.
ERROR	duplicate_definition	brain inflammation AE	IAO:0000115	an inflammation AE which has an outcome of brain inflammation, which is local accumulation of fluid, plasma proteins, and leukocytes in the brain
ERROR	duplicate_definition	meninges inflammation AE	IAO:0000115	an inflammation AE which has an outcome of brain inflammation, which is local accumulation of fluid, plasma proteins, and leukocytes in the brain
ERROR	duplicate_definition	thrombotic microangiopathy AE	IAO:0000115	a thrombosis AE that is characterized by a pathological process involving thrombocytopenia, microangiopathic haemolytic anaemia and microvascular occlusion
ERROR	duplicate_definition	obsolete: thrombotic microangiopathy AE	IAO:0000115	a thrombosis AE that is characterized by a pathological process involving thrombocytopenia, microangiopathic haemolytic anaemia and microvascular occlusion
ERROR	duplicate_definition	radiation skin injury AE	IAO:0000115	a skin AE that has an outcome of injury to the skin and underlying tissues from exposure to a large external dose of radiation
ERROR	duplicate_definition	dermatitis radiation AE	IAO:0000115	a skin AE that has an outcome of injury to the skin and underlying tissues from exposure to a large external dose of radiation
ERROR	duplicate_definition	Grade 2 proteinuria AE	IAO:0000115	a proteinuria AE that requires
ERROR	duplicate_definition	Grade 3 proteinuria AE	IAO:0000115	a proteinuria AE that requires
ERROR	multiple_equivalent_classes	injection-site AE	owl:equivalentClass	bfb772af-a87d-41b6-873c-9c0bcf833e95genid323
ERROR	multiple_equivalent_classes	injection-site AE	owl:equivalentClass	bfb772af-a87d-41b6-873c-9c0bcf833e95genid324
ERROR	label_formatting	blood folate level abnormal AE	rdfs:label	"blood folate level abnormal AE
@en"
ERROR	label_formatting	blood pH decreased AE	rdfs:label	"blood pH decreased AE
@en"
ERROR	label_formatting	PO2 abnormal AE	rdfs:label	"PO2 abnormal AE
@en"
ERROR	label_formatting	protein total increased AE	rdfs:label	"protein total increased AE
@en"
ERROR	label_formatting	monocyte percentage decreased AE	rdfs:label	"monocyte percentage decreased AE
@en"
ERROR	label_formatting	arthropathy AE	rdfs:label	"arthropathy AE
@en"
ERROR	misused_obsolete_label	obsolete: medical device adverse event	rdfs:label	<obsolete: medical device adverse event>
ERROR	misused_obsolete_label	obsolete: behavior AE	rdfs:label	<obsolete: behavior AE>
ERROR	misused_obsolete_label	obsolete: reflexes decreased AE	rdfs:label	<obsolete: reflexes decreased AE>
ERROR	misused_obsolete_label	obsolete: hyporeflexia AE	rdfs:label	<obsolete: hyporeflexia AE>
ERROR	misused_obsolete_label	obsolete: thrombotic microangiopathy AE	rdfs:label	<obsolete: thrombotic microangiopathy AE@en>
ERROR	misused_obsolete_label	obsolete: injury or procedural complication AE	rdfs:label	<obsolete: injury or procedural complication AE@en>
ERROR	duplicate_label	vesicular rash AE	rdfs:label	vesicular rash AE@en
ERROR	duplicate_label	vesicular rash AE	rdfs:label	vesicular rash AE@en
ERROR	duplicate_label	thrombocythemia AE	rdfs:label	thrombocythemia AE
ERROR	duplicate_label	thrombocythemia AE	rdfs:label	thrombocythemia AE
ERROR	duplicate_label	osteonecrosis of jaw AE	rdfs:label	osteonecrosis of jaw AE
ERROR	duplicate_label	osteonecrosis of jaw AE	rdfs:label	osteonecrosis of jaw AE
ERROR	duplicate_label	lower gastrointestinal hemorrhage AE	rdfs:label	lower gastrointestinal hemorrhage AE
