Level	Rule Name	Subject	Property	Value
WARN	missing_definition	qualitative	IAO:0000115	
WARN	missing_definition	growth rate	IAO:0000115	
WARN	missing_definition	hypertrophic growth	IAO:0000115	
WARN	missing_definition	hypotrophic growth	IAO:0000115	
WARN	missing_definition	female semi-fertile	IAO:0000115	
WARN	missing_definition	male semi-fertile	IAO:0000115	
WARN	missing_definition	male semi-sterile	IAO:0000115	
WARN	missing_definition	female semi-sterile	IAO:0000115	
WARN	missing_definition	semi-fertile	IAO:0000115	
WARN	missing_definition	magnitude	IAO:0000115	
WARN	missing_definition	increased magnitude	IAO:0000115	
WARN	missing_definition	decreased magnitude	IAO:0000115	
WARN	missing_definition	physical quality of a process	IAO:0000115	
WARN	missing_definition	bracket	IAO:0000115	
WARN	missing_definition	sloped downward	IAO:0000115	
WARN	missing_definition	edge shape	IAO:0000115	
WARN	missing_definition	aplastic/hypoplastic	IAO:0000115	
WARN	missing_definition	hypoelliptic	IAO:0000115	
WARN	missing_definition	hyperelliptic	IAO:0000115	
INFO	lowercase_definition	random pattern	IAO:0000115	characterised by an unidentifiable pattern.
INFO	lowercase_definition	stability	IAO:0000115	quality, state, or degree of being stable.
INFO	missing_superclass	quality	rdfs:subClassOf	
INFO	missing_superclass	variability of temperature	rdfs:subClassOf	
INFO	missing_superclass	decreased variability of temperature	rdfs:subClassOf	
INFO	missing_superclass	increased variability of temperature	rdfs:subClassOf	
INFO	missing_superclass	decreased variability	rdfs:subClassOf	
INFO	missing_superclass	increased variability	rdfs:subClassOf	
INFO	missing_superclass	increased variability of rate	rdfs:subClassOf	
INFO	missing_superclass	decreased variability of rate	rdfs:subClassOf	
INFO	missing_superclass	increased variability of color	rdfs:subClassOf	
INFO	missing_superclass	decreased variability of color	rdfs:subClassOf	
INFO	missing_superclass	decreased variability of size	rdfs:subClassOf	
INFO	missing_superclass	increased variability of size	rdfs:subClassOf	
INFO	missing_superclass	decreased propagation velocity	rdfs:subClassOf	
INFO	missing_superclass	increased humidity	rdfs:subClassOf	
INFO	missing_superclass	decreased humidity	rdfs:subClassOf	
INFO	missing_superclass	increased degree of illumination	rdfs:subClassOf	
INFO	missing_superclass	decreased degree of illumination	rdfs:subClassOf	
INFO	missing_superclass	increased combustibility	rdfs:subClassOf	
INFO	missing_superclass	decreased combustibility	rdfs:subClassOf	
INFO	missing_superclass	increased porosity	rdfs:subClassOf	
INFO	missing_superclass	decreased porosity	rdfs:subClassOf	
INFO	missing_superclass	increased stability	rdfs:subClassOf	
INFO	missing_superclass	decreased stability	rdfs:subClassOf	
INFO	missing_superclass	normal variability	rdfs:subClassOf	
INFO	missing_superclass	normal variability of color	rdfs:subClassOf	
INFO	missing_superclass	normal variability of rate	rdfs:subClassOf	
INFO	missing_superclass	normal variability of size	rdfs:subClassOf	
INFO	missing_superclass	normal variability of temperature	rdfs:subClassOf	
INFO	missing_superclass	decreased spatial extent of a process	rdfs:subClassOf	
INFO	missing_superclass	increased spatial extent of a process	rdfs:subClassOf	
